imu_packets,1250
IMUtimestamp,quatI,quatJ,quatK,quatReal,quatRadianAccuracy
1595835875.6015732,B3393278,0.07965,-0.01508,-0.99652,0.01904,0.0156
1595835875.60704,B3393283,0.07959,-0.01520,-0.99652,0.01892,0.0156
1595835875.611903,B3393288,0.07959,-0.01526,-0.99652,0.01880,0.0156
1595835875.619814,B3393293,0.07959,-0.01538,-0.99652,0.01868,0.0156
1595835875.621824,B3393298,0.07953,-0.01544,-0.99652,0.01855,0.0156
1595835875.627321,B3393303,0.07953,-0.01556,-0.99652,0.01843,0.0156
1595835875.633335,B3393309,0.07953,-0.01563,-0.99652,0.01831,0.0156
1595835875.6373901,B3393314,0.07947,-0.01575,-0.99652,0.01819,0.0156
1595835875.642184,B3393319,0.07947,-0.01581,-0.99652,0.01807,0.0156
1595835875.648663,B3393324,0.07941,-0.01593,-0.99652,0.01794,0.0156
1595835875.652958,B3393329,0.07941,-0.01599,-0.99658,0.01782,0.0156
1595835875.657908,B3393334,0.07947,-0.01617,-0.99652,0.01764,0.0156
1595835875.662833,B3393339,0.07953,-0.01624,-0.99652,0.01752,0.0156
1595835875.668111,B3393344,0.07959,-0.01636,-0.99652,0.01740,0.0156
1595835875.6730309,B3393350,0.07959,-0.01642,-0.99652,0.01727,0.0156
1595835875.678415,B3393355,0.07965,-0.01654,-0.99652,0.01715,0.0156
1595835875.684063,B3393360,0.07971,-0.01666,-0.99652,0.01703,0.0156
1595835875.6899798,B3393365,0.07977,-0.01672,-0.99652,0.01691,0.0156
1595835875.693161,B3393370,0.07983,-0.01685,-0.99652,0.01672,0.0156
1595835875.698914,B3393375,0.07983,-0.01697,-0.99652,0.01660,0.0156
1595835875.7052228,B3393380,0.07990,-0.01703,-0.99652,0.01648,0.0156
1595835875.710436,B3393386,0.07990,-0.01709,-0.99652,0.01636,0.0156
1595835875.71536,B3393391,0.07996,-0.01715,-0.99652,0.01624,0.0156
1595835875.721388,B3393397,0.07996,-0.01715,-0.99652,0.01605,0.0156
1595835875.7264981,B3393402,0.07996,-0.01715,-0.99652,0.01593,0.0156
1595835875.731345,B3393407,0.08002,-0.01715,-0.99652,0.01575,0.0156
1595835875.7367198,B3393413,0.08002,-0.01709,-0.99652,0.01563,0.0156
1595835875.743187,B3393418,0.08008,-0.01709,-0.99652,0.01544,0.0156
1595835875.747778,B3393423,0.08008,-0.01703,-0.99652,0.01532,0.0156
1595835875.751503,B3393428,0.08008,-0.01697,-0.99652,0.01514,0.0156
1595835875.757271,B3393433,0.08008,-0.01691,-0.99652,0.01495,0.0156
1595835875.763366,B3393438,0.08008,-0.01691,-0.99652,0.01477,0.0156
1595835875.767933,B3393443,0.08008,-0.01685,-0.99652,0.01465,0.0156
1595835875.771591,B3393448,0.08008,-0.01678,-0.99652,0.01453,0.0156
1595835875.7769458,B3393453,0.08008,-0.01672,-0.99652,0.01434,0.0156
1595835875.783212,B3393459,0.08008,-0.01672,-0.99652,0.01422,0.0156
1595835875.788081,B3393464,0.08008,-0.01666,-0.99652,0.01410,0.0156
1595835875.792206,B3393469,0.08008,-0.01660,-0.99658,0.01379,0.0156
1595835875.797884,B3393474,0.08008,-0.01660,-0.99658,0.01373,0.0156
1595835875.80284,B3393479,0.08008,-0.01654,-0.99658,0.01361,0.0156
1595835875.807648,B3393484,0.08008,-0.01654,-0.99658,0.01355,0.0156
1595835875.813344,B3393489,0.08008,-0.01654,-0.99658,0.01343,0.0156
1595835875.819385,B3393494,0.08008,-0.01654,-0.99658,0.01337,0.0156
1595835875.822484,B3393499,0.08008,-0.01648,-0.99658,0.01331,0.0156
