eye_packets,771
norm_X,norm_Y,phi,theta,confidence,timestamp
1595921925.2635431,"{'circle_3d': {'center': [5.942334161447091, 8.88425252597965, 68.3198460712282], 'normal': [-0.14413759028861933, 0.6036945357075468, -0.7840773320423436], 'radius': 3.369658236291095}, 'confidence': 0.9547337025931124, 'timestamp': 8319.708759, 'diameter_3d': 6.73931647258219, 'ellipse': {'center': [214.14765177652944, 199.98529425276269], 'axes': [43.733547038668675, 61.50472807292376], 'angle': -82.48775844617899}, 'location': [214.14765177652944, 199.98529425276269], 'diameter': 61.50472807292376, 'sphere': {'center': [7.671985244910523, 1.6399180974890861, 77.72877405573632], 'radius': 12.0}, 'projected_sphere': {'center': [221.19523830948017, 133.0807314639256], 'axes': [191.43489886165094, 191.43489886165094], 'angle': 90.0}, 'model_confidence': 0.9561154965420648, 'model_id': 31, 'model_birth_timestamp': 7708.853821, 'theta': 2.218923647398246, 'phi': -1.7525973820766714, 'norm_pos': [0.6692114118016546, 0.16672794061348883], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595921925.273393,"{'circle_3d': {'center': [5.94803107904394, 8.892743872641212, 68.32534381410214], 'normal': [-0.1436628471555486, 0.6044021479293438, -0.7836191868028483], 'radius': 3.3504666166817785}, 'confidence': 0.9980391784747443, 'timestamp': 8319.717159, 'diameter_3d': 6.700933233363557, 'ellipse': {'center': [214.1919416987866, 200.06301447130394], 'axes': [43.441294522973415, 61.14918617780828], 'angle': -82.53416687453854}, 'location': [214.1919416987866, 200.06301447130394], 'diameter': 61.14918617780828, 'sphere': {'center': [7.671985244910523, 1.6399180974890861, 77.72877405573632], 'radius': 12.0}, 'projected_sphere': {'center': [221.19523830948017, 133.0807314639256], 'axes': [191.43489886165094, 191.43489886165094], 'angle': 90.0}, 'model_confidence': 0.9560862490658018, 'model_id': 31, 'model_birth_timestamp': 7708.853821, 'theta': 2.219811550462699, 'phi': -1.7521152734676768, 'norm_pos': [0.6693498178087081, 0.16640410636956693], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595921925.279367,"{'circle_3d': {'center': [5.94219789826433, 8.895717505465388, 68.32870965773385], 'normal': [-0.14414894555384947, 0.6046499506646918, -0.7833386998335389], 'radius': 3.3843180284064203}, 'confidence': 0.9997335490573358, 'timestamp': 8319.725559, 'diameter_3d': 6.7686360568128405, 'ellipse': {'center': [214.1412903208328, 200.0733124367431], 'axes': [43.86017517566199, 61.764628055799726], 'angle': -82.491337106847}, 'location': [214.1412903208328, 200.0733124367431], 'diameter': 61.764628055799726, 'sphere': {'center': [7.671985244910523, 1.6399180974890861, 77.72877405573632], 'radius': 12.0}, 'projected_sphere': {'center': [221.19523830948017, 133.0807314639256], 'axes': [191.43489886165094, 191.43489886165094], 'angle': 90.0}, 'model_confidence': 0.9560762042594817, 'model_id': 31, 'model_birth_timestamp': 7708.853821, 'theta': 2.2201226316683305, 'phi': -1.752779071117811, 'norm_pos': [0.6691915322526025, 0.1663611981802371], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595921925.287775,"{'circle_3d': {'center': [5.941482891583862, 8.881128600687685, 68.31759814337036], 'normal': [-0.14420852944388846, 0.6034342085998832, -0.7842646593638297], 'radius': 3.357034140338804}, 'confidence': 0.9926754191242493, 'timestamp': 8319.733959, 'diameter_3d': 6.714068280677608, 'ellipse': {'center': [214.14013917371557, 199.96439375544878], 'axes': [43.58602942141823, 61.27609035708097], 'angle': -82.4799782301877}, 'location': [214.14013917371557, 199.96439375544878], 'diameter': 61.27609035708097, 'sphere': {'center': [7.671985244910523, 1.6399180974890861, 77.72877405573632], 'radius': 12.0}, 'projected_sphere': {'center': [221.19523830948017, 133.0807314639256], 'axes': [191.43489886165094, 191.43489886165094], 'angle': 90.0}, 'model_confidence': 0.9561314227438222, 'model_id': 31, 'model_birth_timestamp': 7708.853821, 'theta': 2.2185971423802346, 'phi': -1.7526424039802786, 'norm_pos': [0.6691879349178611, 0.16681502601896336], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595921925.295255,"{'circle_3d': {'center': [5.945197470810944, 8.9009539871281, 68.33220224509206], 'normal': [-0.1438989811749649, 0.6050863241365845, -0.7830476508870219], 'radius': 3.338372147852961}, 'confidence': 0.9999610074450179, 'timestamp': 8319.742359, 'diameter_3d': 6.676744295705922, 'ellipse': {'center': [214.15943666300194, 200.13404231891695], 'axes': [43.23696905953363, 60.92220320532342], 'angle': -82.51580557439071}, 'location': [214.15943666300194, 200.13404231891695], 'diameter': 60.92220320532342, 'sphere': {'center': [7.671985244910523, 1.6399180974890861, 77.72877405573632], 'radius': 12.0}, 'projected_sphere': {'center': [221.19523830948017, 133.0807314639256], 'axes': [191.43489886165094, 191.43489886165094], 'angle': 90.0}, 'model_confidence': 0.9562598007489487, 'model_id': 31, 'model_birth_timestamp': 7708.853821, 'theta': 2.220670615383721, 'phi': -1.7525364532025565, 'norm_pos': [0.6692482395718811, 0.16610815700451265], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595921925.3067431,"{'circle_3d': {'center': [5.946199745868322, 8.90558895122522, 68.3356014577019], 'normal': [-0.14381545825351674, 0.6054725711446777, -0.782764383169536], 'radius': 3.337447501841897}, 'confidence': 0.9997936337265727, 'timestamp': 8319.750759, 'diameter_3d': 6.674895003683794, 'ellipse': {'center': [214.1656113382126, 200.17241376090294], 'axes': [43.20016446443131, 60.90230484621175], 'angle': -82.52518420565201}, 'location': [214.1656113382126, 200.17241376090294], 'diameter': 60.90230484621175, 'sphere': {'center': [7.671985244910523, 1.6399180974890861, 77.72877405573632], 'radius': 12.0}, 'projected_sphere': {'center': [221.19523830948017, 133.0807314639256], 'axes': [191.43489886165094, 191.43489886165094], 'angle': 90.0}, 'model_confidence': 0.9562728739726634, 'model_id': 31, 'model_birth_timestamp': 7708.853821, 'theta': 2.2211558423709388, 'phi': -1.7524975657910273, 'norm_pos': [0.6692675354319144, 0.16594827599623774], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595921925.3122182,"{'circle_3d': {'center': [5.950406292704295, 8.89647632730155, 68.3277885452347], 'normal': [-0.14346491268385236, 0.6047131858177053, -0.7834154592084688], 'radius': 3.3847194516927206}, 'confidence': 0.9996589275052804, 'timestamp': 8319.759159, 'diameter_3d': 6.769438903385441, 'ellipse': {'center': [214.21581452863182, 200.08095340123018], 'axes': [43.86714887637617, 61.77272885409485], 'angle': -82.5538353120254}, 'location': [214.21581452863182, 200.08095340123018], 'diameter': 61.77272885409485, 'sphere': {'center': [7.671985244910523, 1.6399180974890861, 77.72877405573632], 'radius': 12.0}, 'projected_sphere': {'center': [221.19523830948017, 133.0807314639256], 'axes': [191.43489886165094, 191.43489886165094], 'angle': 90.0}, 'model_confidence': 0.95624624143551, 'model_id': 31, 'model_birth_timestamp': 7708.853821, 'theta': 2.2202020262034385, 'phi': -1.751916951661548, 'norm_pos': [0.6694244204019745, 0.1663293608282076], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595921925.31965,"{'circle_3d': {'center': [5.959781794890102, 8.914071025873913, 68.3396815266253], 'normal': [-0.14268362083503516, 0.6061794106987355, -0.7824243774259194], 'radius': 3.355185246519978}, 'confidence': 0.9998722591662333, 'timestamp': 8319.767559, 'diameter_3d': 6.710370493039956, 'ellipse': {'center': [214.286678819442, 200.23758189020296], 'axes': [43.39294580531999, 61.22257814928351], 'angle': -82.63127628079789}, 'location': [214.286678819442, 200.23758189020296], 'diameter': 61.22257814928351, 'sphere': {'center': [7.671985244910523, 1.6399180974890861, 77.72877405573632], 'radius': 12.0}, 'projected_sphere': {'center': [221.19523830948017, 133.0807314639256], 'axes': [191.43489886165094, 191.43489886165094], 'angle': 90.0}, 'model_confidence': 0.9563289715392886, 'model_id': 31, 'model_birth_timestamp': 7708.853821, 'theta': 2.2220442814426216, 'phi': -1.7511751364514558, 'norm_pos': [0.6696458713107563, 0.16567674212415429], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595921925.3295481,"{'circle_3d': {'center': [5.96656346246105, 8.919752513520553, 68.34285122315823], 'normal': [-0.14211848187078943, 0.6066528680026222, -0.7821602360481739], 'radius': 3.3637470963846123}, 'confidence': 0.999668996205374, 'timestamp': 8319.775959, 'diameter_3d': 6.727494192769225, 'ellipse': {'center': [214.34617519030962, 200.28199974921924], 'axes': [43.477118980188784, 61.376089143838975], 'angle': -82.68469889889762}, 'location': [214.34617519030962, 200.28199974921924], 'diameter': 61.376089143838975, 'sphere': {'center': [7.671985244910523, 1.6399180974890861, 77.72877405573632], 'radius': 12.0}, 'projected_sphere': {'center': [221.19523830948017, 133.0807314639256], 'axes': [191.43489886165094, 191.43489886165094], 'angle': 90.0}, 'model_confidence': 0.9562753779588595, 'model_id': 31, 'model_birth_timestamp': 7708.853821, 'theta': 2.2226397148098216, 'phi': -1.7505353833421513, 'norm_pos': [0.6698317974697175, 0.16549166771158652], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595921925.3361878,"{'circle_3d': {'center': [5.961675289014007, 8.916576052349795, 68.34127764493948], 'normal': [-0.142525829658043, 0.606388162905059, -0.7822913675664036], 'radius': 3.3678061555163574}, 'confidence': 0.999545177158563, 'timestamp': 8319.784359, 'diameter_3d': 6.735612311032715, 'ellipse': {'center': [214.30405318218362, 200.2536028764789], 'axes': [43.54388500211504, 61.45165982435945], 'angle': -82.64660542800883}, 'location': [214.30405318218362, 200.2536028764789], 'diameter': 61.45165982435945, 'sphere': {'center': [7.671985244910523, 1.6399180974890861, 77.72877405573632], 'radius': 12.0}, 'projected_sphere': {'center': [221.19523830948017, 133.0807314639256], 'axes': [191.43489886165094, 191.43489886165094], 'angle': 90.0}, 'model_confidence': 0.9562264077919491, 'model_id': 31, 'model_birth_timestamp': 7708.853821, 'theta': 2.222306780827548, 'phi': -1.7510099276591888, 'norm_pos': [0.6697001661943238, 0.1656099880146712], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595921925.347407,"{'circle_3d': {'center': [5.96220626050993, 8.902823117981844, 68.33053664184838], 'normal': [-0.1424815820333828, 0.6052420850410631, -0.7831864511573289], 'radius': 3.37230326690533}, 'confidence': 0.8637546675109357, 'timestamp': 8319.792759, 'diameter_3d': 6.74460653381066, 'ellipse': {'center': [214.3179952372709, 200.13977742339227], 'axes': [43.679132937720524, 61.54337432530943], 'angle': -82.64555306418076}, 'location': [214.3179952372709, 200.13977742339227], 'diameter': 61.54337432530943, 'sphere': {'center': [7.671985244910523, 1.6399180974890861, 77.72877405573632], 'radius': 12.0}, 'projected_sphere': {'center': [221.19523830948017, 133.0807314639256], 'axes': [191.43489886165094, 191.43489886165094], 'angle': 90.0}, 'model_confidence': 0.956120028784635, 'model_id': 31, 'model_birth_timestamp': 7708.853821, 'theta': 2.220866270167038, 'phi': -1.7507537028325197, 'norm_pos': [0.6697437351164716, 0.16608426073586557], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
