eye_packets,774
norm_X,norm_Y,phi,theta,confidence,timestamp
1596094644.528781,"{'circle_3d': {'center': [-4.383393156865621, 9.553958970235177, 77.06374691161079], 'normal': [-0.26047306000387827, 0.6725632587701851, -0.6926849557805085], 'radius': 2.355364728584808}, 'confidence': 0.9975917430809544, 'timestamp': 37020.580727, 'diameter_3d': 4.710729457169616, 'ellipse': {'center': [124.8217451589131, 196.63176300803713], 'axes': [22.540950475045438, 37.90942762585523], 'angle': -68.51505232701177}, 'location': [124.8217451589131, 196.63176300803713], 'diameter': 37.90942762585523, 'sphere': {'center': [-1.2577164368190812, 1.4831998649929559, 85.37596638097689], 'radius': 12.0}, 'projected_sphere': {'center': [150.86646718178082, 130.7709927661859], 'axes': [174.28792470237266, 174.28792470237266], 'angle': 90.0}, 'model_confidence': 0.8075517630251827, 'model_id': 1, 'model_birth_timestamp': 36581.986359, 'theta': 2.3084633643104207, 'phi': -1.9304731654668095, 'norm_pos': [0.39006795362160346, 0.18070098746651198], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596094644.536739,"{'circle_3d': {'center': [-4.4189648363899, 9.513953858066452, 77.03849081226036], 'normal': [-0.26343736663090156, 0.6692294994227913, -0.6947896307263776], 'radius': 2.3870883393113207}, 'confidence': 0.996490121420698, 'timestamp': 37020.589127, 'diameter_3d': 4.774176678622641, 'ellipse': {'center': [124.52783968200085, 196.3287106577967], 'axes': [22.950059838411068, 38.43278446760108], 'angle': -68.20191260209016}, 'location': [124.52783968200085, 196.3287106577967], 'diameter': 38.43278446760108, 'sphere': {'center': [-1.2577164368190812, 1.4831998649929559, 85.37596638097689], 'radius': 12.0}, 'projected_sphere': {'center': [150.86646718178082, 130.7709927661859], 'axes': [174.28792470237266, 174.28792470237266], 'angle': 90.0}, 'model_confidence': 0.8078739593328499, 'model_id': 1, 'model_birth_timestamp': 36581.986359, 'theta': 2.30396769434988, 'phi': -1.9332102935941267, 'norm_pos': [0.3891494990062526, 0.18196370559251374], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596094644.5448,"{'circle_3d': {'center': [-4.4064654621038155, 9.515281168158145, 77.03504020248133], 'normal': [-0.26239575210706123, 0.669340108597099, -0.6950771815412972], 'radius': 2.385546967127727}, 'confidence': 0.9977236631481319, 'timestamp': 37020.597527, 'diameter_3d': 4.771093934255454, 'ellipse': {'center': [124.62641251690607, 196.34292758742075], 'axes': [22.950082366038068, 38.40967795375156], 'angle': -68.2808101325481}, 'location': [124.62641251690607, 196.34292758742075], 'diameter': 38.40967795375156, 'sphere': {'center': [-1.2577164368190812, 1.4831998649929559, 85.37596638097689], 'radius': 12.0}, 'projected_sphere': {'center': [150.86646718178082, 130.7709927661859], 'axes': [174.28792470237266, 174.28792470237266], 'angle': 90.0}, 'model_confidence': 0.8090650035906588, 'model_id': 1, 'model_birth_timestamp': 36581.986359, 'theta': 2.304116561493835, 'phi': -1.9317621575169945, 'norm_pos': [0.3894575391153315, 0.18190446838574692], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596094644.553399,"{'circle_3d': {'center': [-4.393933267373882, 9.508915817560874, 77.0241984579296], 'normal': [-0.26135140254623335, 0.6688096627139932, -0.6959806602539408], 'radius': 2.394996668478741}, 'confidence': 0.9978877091700947, 'timestamp': 37020.605927, 'diameter_3d': 4.789993336957482, 'ellipse': {'center': [124.72284237054815, 196.3002512683218], 'axes': [23.087224210324987, 38.56731708964635], 'angle': -68.34105383956984}, 'location': [124.72284237054815, 196.3002512683218], 'diameter': 38.56731708964635, 'sphere': {'center': [-1.2577164368190812, 1.4831998649929559, 85.37596638097689], 'radius': 12.0}, 'projected_sphere': {'center': [150.86646718178082, 130.7709927661859], 'axes': [174.28792470237266, 174.28792470237266], 'angle': 90.0}, 'model_confidence': 0.8101941016306458, 'model_id': 1, 'model_birth_timestamp': 36581.986359, 'theta': 2.303402824282403, 'phi': -1.9300187106698101, 'norm_pos': [0.38975888240796297, 0.18208228638199253], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596094644.561184,"{'circle_3d': {'center': [-4.417920969619184, 9.488408025806002, 77.0135654331078], 'normal': [-0.26335037773334186, 0.6671006800677538, -0.6968667456557577], 'radius': 2.391172618289587}, 'confidence': 0.9960145543252601, 'timestamp': 37020.614327, 'diameter_3d': 4.782345236579174, 'ellipse': {'center': [124.52549392630537, 196.14661375414528], 'axes': [23.094525293528985, 38.51098172344493], 'angle': -68.14495274075014}, 'location': [124.52549392630537, 196.14661375414528], 'diameter': 38.51098172344493, 'sphere': {'center': [-1.2577164368190812, 1.4831998649929559, 85.37596638097689], 'radius': 12.0}, 'projected_sphere': {'center': [150.86646718178082, 130.7709927661859], 'axes': [174.28792470237266, 174.28792470237266], 'angle': 90.0}, 'model_confidence': 0.8107299163131354, 'model_id': 1, 'model_birth_timestamp': 36581.986359, 'theta': 2.3011064248476365, 'phi': -1.932112603952242, 'norm_pos': [0.3891421685197043, 0.1827224426910613], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596094644.568226,"{'circle_3d': {'center': [-4.424002980608651, 9.47496939616542, 77.00301891409042], 'normal': [-0.26385721198246415, 0.6659807942643721, -0.6977456222405392], 'radius': 2.407941643062705}, 'confidence': 0.9966978703335618, 'timestamp': 37020.622727, 'diameter_3d': 4.81588328612541, 'ellipse': {'center': [124.47334546109533, 196.04540312706405], 'axes': [23.3013161603515, 38.78647375376242], 'angle': -68.07463435444869}, 'location': [124.47334546109533, 196.04540312706405], 'diameter': 38.78647375376242, 'sphere': {'center': [-1.2577164368190812, 1.4831998649929559, 85.37596638097689], 'radius': 12.0}, 'projected_sphere': {'center': [150.86646718178082, 130.7709927661859], 'axes': [174.28792470237266, 174.28792470237266], 'angle': 90.0}, 'model_confidence': 0.8126846752403272, 'model_id': 1, 'model_birth_timestamp': 36581.986359, 'theta': 2.2996041668731957, 'phi': -1.9323316762869034, 'norm_pos': [0.38897920456592294, 0.18314415363723313], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596094644.583349,"{'circle_3d': {'center': [-4.454798096678145, 9.452505818972211, 76.9933157576917], 'normal': [-0.266423471654922, 0.6641088294982713, -0.6985542186070993], 'radius': 2.3808318558564294}, 'confidence': 0.9953899517942713, 'timestamp': 37020.631127, 'diameter_3d': 4.761663711712859, 'ellipse': {'center': [124.21990080314477, 195.87981258529086], 'axes': [23.07869188044643, 38.35437015275496], 'angle': -67.83160480990529}, 'location': [124.21990080314477, 195.87981258529086], 'diameter': 38.35437015275496, 'sphere': {'center': [-1.2577164368190812, 1.4831998649929559, 85.37596638097689], 'radius': 12.0}, 'projected_sphere': {'center': [150.86646718178082, 130.7709927661859], 'axes': [174.28792470237266, 174.28792470237266], 'angle': 90.0}, 'model_confidence': 0.8127296530619499, 'model_id': 1, 'model_birth_timestamp': 36581.986359, 'theta': 2.297097528194285, 'phi': -1.9351597333636268, 'norm_pos': [0.3881871900098274, 0.1838341142279547], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596094644.586648,"{'circle_3d': {'center': [-4.4966325592277485, 9.429936826639741, 76.98795147789059], 'normal': [-0.269909676867389, 0.6622280801372321, -0.699001241923859], 'radius': 2.42649396090185}, 'confidence': 0.9959097351527276, 'timestamp': 37020.639527, 'diameter_3d': 4.8529879218037, 'ellipse': {'center': [123.88553408380224, 195.69460249753627], 'axes': [23.543623703714417, 39.09302153140029], 'angle': -67.52096696779117}, 'location': [123.88553408380224, 195.69460249753627], 'diameter': 39.09302153140029, 'sphere': {'center': [-1.2577164368190812, 1.4831998649929559, 85.37596638097689], 'radius': 12.0}, 'projected_sphere': {'center': [150.86646718178082, 130.7709927661859], 'axes': [174.28792470237266, 174.28792470237266], 'angle': 90.0}, 'model_confidence': 0.812847429873842, 'model_id': 1, 'model_birth_timestamp': 36581.986359, 'theta': 2.294584734648305, 'phi': -1.9392943110594556, 'norm_pos': [0.387142294011882, 0.18460582292693217], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596094644.593334,"{'circle_3d': {'center': [-4.467499041965182, 9.42558547203437, 76.97264522224668], 'normal': [-0.267481883762175, 0.6618654672534512, -0.7002767632275179], 'radius': 2.4256280592164123}, 'confidence': 0.9946726241046516, 'timestamp': 37020.647927, 'diameter_3d': 4.851256118432825, 'ellipse': {'center': [124.11231113251672, 195.67422408748575], 'axes': [23.60166131670809, 39.086821742849], 'angle': -67.6864270288081}, 'location': [124.11231113251672, 195.67422408748575], 'diameter': 39.086821742849, 'sphere': {'center': [-1.2577164368190812, 1.4831998649929559, 85.37596638097689], 'radius': 12.0}, 'projected_sphere': {'center': [150.86646718178082, 130.7709927661859], 'axes': [174.28792470237266, 174.28792470237266], 'angle': 90.0}, 'model_confidence': 0.8135174091435382, 'model_id': 1, 'model_birth_timestamp': 36581.986359, 'theta': 2.294100904055391, 'phi': -1.9356601072304225, 'norm_pos': [0.38785097228911475, 0.18469073296880933], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596094644.604832,"{'circle_3d': {'center': [-4.484455536912501, 9.395985548216188, 76.9512422008446], 'normal': [-0.268894925007785, 0.6593988069352693, -0.7020603483443579], 'radius': 2.420151952806427}, 'confidence': 0.9958770000727609, 'timestamp': 37020.656327, 'diameter_3d': 4.840303905612854, 'ellipse': {'center': [123.96621511693087, 195.45787238227513], 'axes': [23.639548388644677, 39.00931999070092], 'angle': -67.50788500863851}, 'location': [123.96621511693087, 195.45787238227513], 'diameter': 39.00931999070092, 'sphere': {'center': [-1.2577164368190812, 1.4831998649929559, 85.37596638097689], 'radius': 12.0}, 'projected_sphere': {'center': [150.86646718178082, 130.7709927661859], 'axes': [174.28792470237266, 174.28792470237266], 'angle': 90.0}, 'model_confidence': 0.8129942830713555, 'model_id': 1, 'model_birth_timestamp': 36581.986359, 'theta': 2.2908151283014484, 'phi': -1.9365694019448174, 'norm_pos': [0.387394422240409, 0.185592198407187], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596094644.6130612,"{'circle_3d': {'center': [-4.483068470944928, 9.37139703359449, 76.92768550938965], 'normal': [-0.2687793361771539, 0.6573497640501279, -0.704023405965604], 'radius': 2.415688051816073}, 'confidence': 0.9956462927884805, 'timestamp': 37020.664727, 'diameter_3d': 4.831376103632146, 'ellipse': {'center': [123.96640075670814, 195.2834378878145], 'axes': [23.696787916770873, 38.949202936993274], 'angle': -67.45308690924432}, 'location': [123.96640075670814, 195.2834378878145], 'diameter': 38.949202936993274, 'sphere': {'center': [-1.2577164368190812, 1.4831998649929559, 85.37596638097689], 'radius': 12.0}, 'projected_sphere': {'center': [150.86646718178082, 130.7709927661859], 'axes': [174.28792470237266, 174.28792470237266], 'angle': 90.0}, 'model_confidence': 0.8123683826352979, 'model_id': 1, 'model_birth_timestamp': 36581.986359, 'theta': 2.288092834866138, 'phi': -1.9354944452054417, 'norm_pos': [0.3873950023647129, 0.1863190088007729], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
