eye_packets,772
norm_X,norm_Y,phi,theta,confidence,timestamp
1596093842.454158,"{'circle_3d': {'center': [-4.470343802456687, 7.069174123237906, 66.45077996796437], 'normal': [-0.28045561736269736, 0.6144567851535434, -0.7374194911096944], 'radius': 2.1265308308999353}, 'confidence': 0.4893483988476187, 'timestamp': 36218.510876, 'diameter_3d': 4.253061661799871, 'ellipse': {'center': [118.40261566134762, 185.6999025062377], 'axes': [25.928801694298187, 39.695829767054704], 'angle': -64.71571482172571}, 'location': [118.40261566134762, 185.6999025062377], 'diameter': 39.695829767054704, 'sphere': {'center': [-1.104876394104319, -0.304307298604614, 75.2998138612807], 'radius': 12.0}, 'projected_sphere': {'center': [150.90272167728534, 117.4944091431297], 'axes': [197.61005023747242, 197.61005023747242], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 55, 'model_birth_timestamp': 36188.724476, 'theta': 2.232493580088607, 'phi': -1.934223209725328, 'norm_pos': [0.3700081739417113, 0.2262504062240096], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596093842.461548,"{'circle_3d': {'center': [-4.469659456647323, 7.073064171798278, 66.45376247494401], 'normal': [-0.28039858854525035, 0.6147809558669077, -0.7371709488613903], 'radius': 2.125117280975906}, 'confidence': 0.49937927237210916, 'timestamp': 36218.519276, 'diameter_3d': 4.250234561951812, 'ellipse': {'center': [118.41063100142667, 185.73358591835142], 'axes': [25.898157670925993, 39.667657446083446], 'angle': -64.73210903175222}, 'location': [118.41063100142667, 185.73358591835142], 'diameter': 39.667657446083446, 'sphere': {'center': [-1.104876394104319, -0.304307298604614, 75.2998138612807], 'radius': 12.0}, 'projected_sphere': {'center': [150.90272167728534, 117.4944091431297], 'axes': [197.61005023747242, 197.61005023747242], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 55, 'model_birth_timestamp': 36188.724476, 'theta': 2.232904534409172, 'phi': -1.934267647159135, 'norm_pos': [0.3700332218794583, 0.22611005867353573], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596093842.470488,"{'circle_3d': {'center': [-4.468966171584045, 7.0769740665911, 66.45676091691409], 'normal': [-0.2803408147899772, 0.6151067804329762, -0.7369210786972171], 'radius': 2.131969150804021}, 'confidence': 0.4978772722079795, 'timestamp': 36218.527676, 'diameter_3d': 4.263938301608042, 'ellipse': {'center': [118.4196079162923, 185.76543571615332], 'axes': [25.968232832211097, 39.79382684732461], 'angle': -64.74860384665729}, 'location': [118.4196079162923, 185.76543571615332], 'diameter': 39.79382684732461, 'sphere': {'center': [-1.104876394104319, -0.304307298604614, 75.2998138612807], 'radius': 12.0}, 'projected_sphere': {'center': [150.90272167728534, 117.4944091431297], 'axes': [197.61005023747242, 197.61005023747242], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 55, 'model_birth_timestamp': 36188.724476, 'theta': 2.233317718029368, 'phi': -1.9343118288321, 'norm_pos': [0.37006127473841344, 0.22597735118269446], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596093842.477907,"{'circle_3d': {'center': [-4.468263938222996, 7.080903786557308, 66.45977531749206], 'normal': [-0.28028229534322313, 0.615434257096827, -0.7366698786490533], 'radius': 2.1197240150859646}, 'confidence': 0.5104922539151755, 'timestamp': 36218.536076, 'diameter_3d': 4.239448030171929, 'ellipse': {'center': [118.42667009939133, 185.80207019360796], 'axes': [25.80544689733304, 39.56337368916967], 'angle': -64.76521477931438}, 'location': [118.42667009939133, 185.80207019360796], 'diameter': 39.56337368916967, 'sphere': {'center': [-1.104876394104319, -0.304307298604614, 75.2998138612807], 'radius': 12.0}, 'projected_sphere': {'center': [150.90272167728534, 117.4944091431297], 'axes': [197.61005023747242, 197.61005023747242], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 55, 'model_birth_timestamp': 36188.724476, 'theta': 2.2337331309491932, 'phi': -1.9343557547442227, 'norm_pos': [0.3700833440605979, 0.22582470752663353], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596093842.486938,"{'circle_3d': {'center': [-4.46755274749666, 7.0848533105097635, 66.46280570042397], 'normal': [-0.2802230294493618, 0.6157633840928648, -0.7364173467380606], 'radius': 2.145399579223435}, 'confidence': 0.5140039954586717, 'timestamp': 36218.544476, 'diameter_3d': 4.29079915844687, 'ellipse': {'center': [118.43781251094249, 185.8296848152367], 'axes': [26.104587162515553, 40.04100145937216], 'angle': -64.78190882584951}, 'location': [118.43781251094249, 185.8296848152367], 'diameter': 40.04100145937216, 'sphere': {'center': [-1.104876394104319, -0.304307298604614, 75.2998138612807], 'radius': 12.0}, 'projected_sphere': {'center': [150.90272167728534, 117.4944091431297], 'axes': [197.61005023747242, 197.61005023747242], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 55, 'model_birth_timestamp': 36188.724476, 'theta': 2.2341507731690142, 'phi': -1.9343994248955418, 'norm_pos': [0.3701181640966953, 0.22570964660318038], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596093842.498453,"{'circle_3d': {'center': [-4.466832590316464, 7.088822617119184, 66.4658520895737], 'normal': [-0.2801630163510121, 0.6160941596436498, -0.7361634809755829], 'radius': 2.1397805472409526}, 'confidence': 0.4963726812031603, 'timestamp': 36218.552876, 'diameter_3d': 4.279561094481905, 'ellipse': {'center': [118.44574985410311, 185.86506007882562], 'axes': [26.022388372289093, 39.93425682715479], 'angle': -64.79872561221852}, 'location': [118.44574985410311, 185.86506007882562], 'diameter': 39.93425682715479, 'sphere': {'center': [-1.104876394104319, -0.304307298604614, 75.2998138612807], 'radius': 12.0}, 'projected_sphere': {'center': [150.90272167728534, 117.4944091431297], 'axes': [197.61005023747242, 197.61005023747242], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 55, 'model_birth_timestamp': 36188.724476, 'theta': 2.2345706446881066, 'phi': -1.9344428392859818, 'norm_pos': [0.3701429682940722, 0.2255622496715599], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596093842.505793,"{'circle_3d': {'center': [-4.73466489429774, 6.413809768923772, 66.04284143446385], 'normal': [-0.30248237501611847, 0.5598430889606989, -0.7714143689014038], 'radius': 2.142913382148396}, 'confidence': 0.4905185386565396, 'timestamp': 36218.561276, 'diameter_3d': 4.285826764296792, 'ellipse': {'center': [115.68511804129196, 179.95551023906864], 'axes': [27.986360717967006, 40.24777199217492], 'angle': -60.78743410851717}, 'location': [115.68511804129196, 179.95551023906864], 'diameter': 40.24777199217492, 'sphere': {'center': [-1.104876394104319, -0.304307298604614, 75.2998138612807], 'radius': 12.0}, 'projected_sphere': {'center': [150.90272167728534, 117.4944091431297], 'axes': [197.61005023747242, 197.61005023747242], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 55, 'model_birth_timestamp': 36188.724476, 'theta': 2.1649927455068316, 'phi': -1.9444859979155804, 'norm_pos': [0.3615159938790374, 0.25018537400388063], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596093842.525991,"{'circle_3d': {'center': [-4.475597736878523, 7.043330489030837, 66.43130459697488], 'normal': [-0.2808934452311837, 0.612303148969621, -0.7390424386921512], 'radius': 2.137173698858495}, 'confidence': 0.5434560260083653, 'timestamp': 36218.578076, 'diameter_3d': 4.27434739771699, 'ellipse': {'center': [118.34311710959965, 185.47542333342147], 'axes': [26.146646245633022, 39.90624170843958], 'angle': -64.60198740416301}, 'location': [118.34311710959965, 185.47542333342147], 'diameter': 39.90624170843958, 'sphere': {'center': [-1.104876394104319, -0.304307298604614, 75.2998138612807], 'radius': 12.0}, 'projected_sphere': {'center': [150.90272167728534, 117.4944091431297], 'axes': [197.61005023747242, 197.61005023747242], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 55, 'model_birth_timestamp': 36188.724476, 'theta': 2.2297667240493158, 'phi': -1.9340111066056604, 'norm_pos': [0.3698222409674989, 0.22718573611074389], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596093842.530748,"{'circle_3d': {'center': [-4.4919596832552395, 7.007177262312256, 66.40769036304762], 'normal': [-0.28225694076257674, 0.6092903800764058, -0.741010291519423], 'radius': 2.1140334381166457}, 'confidence': 0.5773788220164632, 'timestamp': 36218.586476, 'diameter_3d': 4.228066876233291, 'ellipse': {'center': [118.17416354869411, 185.16698461406202], 'axes': [25.968284989873347, 39.487935540114336], 'angle': -64.38466036696978}, 'location': [118.17416354869411, 185.16698461406202], 'diameter': 39.487935540114336, 'sphere': {'center': [-1.104876394104319, -0.304307298604614, 75.2998138612807], 'radius': 12.0}, 'projected_sphere': {'center': [150.90272167728534, 117.4944091431297], 'axes': [197.61005023747242, 197.61005023747242], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 55, 'model_birth_timestamp': 36188.724476, 'theta': 2.2259616952073125, 'phi': -1.934736753326745, 'norm_pos': [0.3692942610896691, 0.22847089744140825], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596093842.539567,"{'circle_3d': {'center': [-4.488782261327909, 7.016468180998874, 66.41412719906904], 'normal': [-0.28199215560196583, 0.6100646233002907, -0.7404738885176378], 'radius': 2.1170846313860383}, 'confidence': 0.57680414093859, 'timestamp': 36218.594876, 'diameter_3d': 4.234169262772077, 'ellipse': {'center': [118.20795597328421, 185.246627950102], 'axes': [25.9770432818877, 39.541137709026245], 'angle': -64.4341163054133}, 'location': [118.20795597328421, 185.246627950102], 'diameter': 39.541137709026245, 'sphere': {'center': [-1.104876394104319, -0.304307298604614, 75.2998138612807], 'radius': 12.0}, 'projected_sphere': {'center': [150.90272167728534, 117.4944091431297], 'axes': [197.61005023747242, 197.61005023747242], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 55, 'model_birth_timestamp': 36188.724476, 'theta': 2.2269384740219076, 'phi': -1.934665440965159, 'norm_pos': [0.3693998624165132, 0.22813905020790826], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596093842.548435,"{'circle_3d': {'center': [-4.485582626640279, 7.025798593504377, 66.42060370610577], 'normal': [-0.28172551937799667, 0.6108421576757491, -0.7399341795979109], 'radius': 2.120463148590312}, 'confidence': 0.6049509583923666, 'timestamp': 36218.603276, 'diameter_3d': 4.240926297180624, 'ellipse': {'center': [118.24200658581717, 185.3265062680955], 'axes': [25.98956754531654, 39.60042194183409], 'angle': -64.48375327533975}, 'location': [118.24200658581717, 185.3265062680955], 'diameter': 39.60042194183409, 'sphere': {'center': [-1.104876394104319, -0.304307298604614, 75.2998138612807], 'radius': 12.0}, 'projected_sphere': {'center': [150.90272167728534, 117.4944091431297], 'axes': [197.61005023747242, 197.61005023747242], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 55, 'model_birth_timestamp': 36188.724476, 'theta': 2.2279201447761663, 'phi': -1.9345933221402325, 'norm_pos': [0.36950627058067864, 0.22780622388293537], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
