eye_packets,733
norm_X,norm_Y,phi,theta,confidence,timestamp
1596175275.740417,"{'circle_3d': {'center': [1.125581716721058e-08, 5.882376896693131e-08, 5.656743233828365e-07], 'normal': [-0.275661778401958, 0.4036785270525609, -0.8723842219601089], 'radius': 1.985971870846981e-08}, 'confidence': 0.9999999999999999, 'timestamp': 50664.229915, 'diameter_3d': 3.971943741693962e-08, 'ellipse': {'center': [172.5242571508273, 184.22282178627057], 'axes': [36.32004878497281, 43.63670098302903], 'angle': -61.40726460914912}, 'location': [172.5242571508273, 184.22282178627057], 'diameter': 43.63670098302903, 'sphere': {'center': [3.3079413520793133, -4.844142265806962, 10.46861122919563], 'radius': 12.0}, 'projected_sphere': {'center': [355.9117206081173, -166.89270611409307], 'axes': [1421.3919759004484, 1421.3919759004484], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 25, 'model_birth_timestamp': 50655.174799, 'theta': 1.9863303071873382, 'phi': -1.8768544954333939, 'norm_pos': [0.5391383035963353, 0.23240490922387258], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175275.7470899,"{'circle_3d': {'center': [1.1255238518970145e-08, 5.8809364489320615e-08, 5.656678396803727e-07], 'normal': [-0.27566177840200623, 0.40367852705136054, -0.8723842219606492], 'radius': 1.9883418435856097e-08}, 'confidence': 0.9999999999999999, 'timestamp': 50664.238315, 'diameter_3d': 3.9766836871712194e-08, 'ellipse': {'center': [172.5242163158448, 184.20716485664408], 'axes': [36.36427689408418, 43.68926019211862], 'angle': -61.40658008281035}, 'location': [172.5242163158448, 184.20716485664408], 'diameter': 43.68926019211862, 'sphere': {'center': [3.3079413520793133, -4.844142265806962, 10.46861122919563], 'radius': 12.0}, 'projected_sphere': {'center': [355.9117206081173, -166.89270611409307], 'axes': [1421.3919759004484, 1421.3919759004484], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 25, 'model_birth_timestamp': 50655.174799, 'theta': 1.986330307186026, 'phi': -1.8768544954332662, 'norm_pos': [0.539138175987015, 0.23247014643064967], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175275.7552278,"{'circle_3d': {'center': [1.0936277217155066e-08, 5.877403808085546e-08, 5.657522805790904e-07], 'normal': [-0.27566177842858636, 0.40367852704841667, -0.8723842219536124], 'radius': 1.992277629277699e-08}, 'confidence': 0.9999999999999999, 'timestamp': 50664.246715, 'diameter_3d': 3.984555258555398e-08, 'ellipse': {'center': [172.17341426246796, 184.15789715656405], 'axes': [36.4265552295685, 43.76786736566561], 'angle': -61.364191950512414}, 'location': [172.17341426246796, 184.15789715656405], 'diameter': 43.76786736566561, 'sphere': {'center': [3.3079413520793133, -4.844142265806962, 10.46861122919563], 'radius': 12.0}, 'projected_sphere': {'center': [355.9117206081173, -166.89270611409307], 'axes': [1421.3919759004484, 1421.3919759004484], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 25, 'model_birth_timestamp': 50655.174799, 'theta': 1.9863303071828085, 'phi': -1.876854495463286, 'norm_pos': [0.5380419195702124, 0.23267542851431644], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175275.762696,"{'circle_3d': {'center': [1.1026264346014614e-08, 5.8933581570386195e-08, 5.657976718254076e-07], 'normal': [-0.2756617784210874, 0.403678527061712, -0.8723842219498299], 'radius': 2.014712117056434e-08}, 'confidence': 0.9999999999999999, 'timestamp': 50664.255115, 'diameter_3d': 4.029424234112868e-08, 'ellipse': {'center': [172.2753296648658, 184.32194668493895], 'axes': [36.83050165658806, 44.25801664638683], 'angle': -61.38276578696764}, 'location': [172.2753296648658, 184.32194668493895], 'diameter': 44.25801664638683, 'sphere': {'center': [3.3079413520793133, -4.844142265806962, 10.46861122919563], 'radius': 12.0}, 'projected_sphere': {'center': [355.9117206081173, -166.89270611409307], 'axes': [1421.3919759004484, 1421.3919759004484], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 25, 'model_birth_timestamp': 50655.174799, 'theta': 1.9863303071973404, 'phi': -1.8768544954567161, 'norm_pos': [0.5383604052027057, 0.23199188881275434], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175275.771678,"{'circle_3d': {'center': [1.0948002948651947e-08, 5.886793719156458e-08, 5.65792026563372e-07], 'normal': [-0.2756617784276092, 0.4036785270562416, -0.8723842219503003], 'radius': 1.966464941196966e-08}, 'confidence': 0.9999999999999999, 'timestamp': 50664.263515, 'diameter_3d': 3.932929882393932e-08, 'ellipse': {'center': [172.18054482003146, 184.26281393416986], 'axes': [35.949080082957636, 43.19782506323249], 'angle': -61.36963500441377}, 'location': [172.18054482003146, 184.26281393416986], 'diameter': 43.19782506323249, 'sphere': {'center': [3.3079413520793133, -4.844142265806962, 10.46861122919563], 'radius': 12.0}, 'projected_sphere': {'center': [355.9117206081173, -166.89270611409307], 'axes': [1421.3919759004484, 1421.3919759004484], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 25, 'model_birth_timestamp': 50655.174799, 'theta': 1.9863303071913612, 'phi': -1.8768544954633584, 'norm_pos': [0.5380642025625983, 0.2322382752742923], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175275.778925,"{'circle_3d': {'center': [1.1110039999095989e-08, 5.8678565117986636e-08, 5.656531971709455e-07], 'normal': [-0.2756617784141061, 0.4036785270404606, -0.8723842219618695], 'radius': 1.9609865941221103e-08}, 'confidence': 0.9999999999999999, 'timestamp': 50664.271915, 'diameter_3d': 3.921973188244221e-08, 'ellipse': {'center': [172.36021403893815, 184.07226959083607], 'axes': [35.86625293363095, 43.08829058614134], 'angle': -61.38213997405977}, 'location': [172.36021403893815, 184.07226959083607], 'diameter': 43.08829058614134, 'sphere': {'center': [3.3079413520793133, -4.844142265806962, 10.46861122919563], 'radius': 12.0}, 'projected_sphere': {'center': [355.9117206081173, -166.89270611409307], 'axes': [1421.3919759004484, 1421.3919759004484], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 25, 'model_birth_timestamp': 50655.174799, 'theta': 1.9863303071741123, 'phi': -1.8768544954454751, 'norm_pos': [0.5386256688716817, 0.23303221003818309], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175275.788314,"{'circle_3d': {'center': [1.1026414892256753e-08, 5.870189667689374e-08, 5.656904171758015e-07], 'normal': [-0.27566177842107487, 0.4036785270424049, -0.8723842219587677], 'radius': 1.9739851210580595e-08}, 'confidence': 0.9999999999999999, 'timestamp': 50664.280315, 'diameter_3d': 3.947970242116119e-08, 'ellipse': {'center': [172.2701393255159, 184.09040156993953], 'axes': [36.09961954630188, 43.37084501548756], 'angle': -61.37250340972926}, 'location': [172.2701393255159, 184.09040156993953], 'diameter': 43.37084501548756, 'sphere': {'center': [3.3079413520793133, -4.844142265806962, 10.46861122919563], 'radius': 12.0}, 'projected_sphere': {'center': [355.9117206081173, -166.89270611409307], 'axes': [1421.3919759004484, 1421.3919759004484], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 25, 'model_birth_timestamp': 50655.174799, 'theta': 1.9863303071762375, 'phi': -1.8768544954537596, 'norm_pos': [0.5383441853922373, 0.23295666012525196], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175275.79448,"{'circle_3d': {'center': [1.1144929423778649e-08, 5.88364281739473e-08, 5.6571522044635e-07], 'normal': [-0.27566177841119865, 0.40367852705361584, -0.8723842219567008], 'radius': 1.9891076366666978e-08}, 'confidence': 0.9999999999999999, 'timestamp': 50664.288715, 'diameter_3d': 3.9782152733333955e-08, 'ellipse': {'center': [172.40236627429846, 184.23128284869003], 'axes': [36.37252223080434, 43.70203748061045], 'angle': -61.393614228210325}, 'location': [172.40236627429846, 184.23128284869003], 'diameter': 43.70203748061045, 'sphere': {'center': [3.3079413520793133, -4.844142265806962, 10.46861122919563], 'radius': 12.0}, 'projected_sphere': {'center': [355.9117206081173, -166.89270611409307], 'axes': [1421.3919759004484, 1421.3919759004484], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 25, 'model_birth_timestamp': 50655.174799, 'theta': 1.9863303071884912, 'phi': -1.876854495444147, 'norm_pos': [0.5387573946071826, 0.2323696547971249], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175275.8062878,"{'circle_3d': {'center': [1.104532154627691e-08, 5.8923538048816226e-08, 5.657870030262302e-07], 'normal': [-0.2756617784194993, 0.403678527060875, -0.872384221950719], 'radius': 1.9941070179973473e-08}, 'confidence': 0.9999999999999999, 'timestamp': 50664.297115, 'diameter_3d': 3.9882140359946946e-08, 'ellipse': {'center': [172.29253008031378, 184.31738494375725], 'axes': [36.45492906789268, 43.806122093151316], 'angle': -61.38465704101574}, 'location': [172.29253008031378, 184.31738494375725], 'diameter': 43.806122093151316, 'sphere': {'center': [3.3079413520793133, -4.844142265806962, 10.46861122919563], 'radius': 12.0}, 'projected_sphere': {'center': [355.9117206081173, -166.89270611409307], 'axes': [1421.3919759004484, 1421.3919759004484], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 25, 'model_birth_timestamp': 50655.174799, 'theta': 1.9863303071964256, 'phi': -1.8768544954547681, 'norm_pos': [0.5384141565009806, 0.2320108960676781], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175275.815226,"{'circle_3d': {'center': [1.0814926731939067e-08, 5.903634914261602e-08, 5.659120052570188e-07], 'normal': [-0.2756617784386989, 0.4036785270702759, -0.8723842219403021], 'radius': 2.0021967458114826e-08}, 'confidence': 0.9999999999999999, 'timestamp': 50664.305515, 'diameter_3d': 4.004393491622965e-08, 'ellipse': {'center': [172.03881681719471, 184.4248101749866], 'axes': [36.58732268709553, 43.97346411174784], 'angle': -61.360120932861676}, 'location': [172.03881681719471, 184.4248101749866], 'diameter': 43.97346411174784, 'sphere': {'center': [3.3079413520793133, -4.844142265806962, 10.46861122919563], 'radius': 12.0}, 'projected_sphere': {'center': [355.9117206081173, -166.89270611409307], 'axes': [1421.3919759004484, 1421.3919759004484], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 25, 'model_birth_timestamp': 50655.174799, 'theta': 1.986330307206701, 'phi': -1.876854495478209, 'norm_pos': [0.5376213025537335, 0.2315632909375559], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175275.82262,"{'circle_3d': {'center': [1.0960591545483567e-08, 5.8909859212974425e-08, 5.658074471170949e-07], 'normal': [-0.27566177842656014, 0.4036785270597351, -0.8723842219490153], 'radius': 1.9770330420084363e-08}, 'confidence': 0.9999999999999999, 'timestamp': 50664.313914, 'diameter_3d': 3.9540660840168725e-08, 'ellipse': {'center': [172.1959855244137, 184.30437614753527], 'axes': [36.140305607909085, 43.4289959266897], 'angle': -61.37312380383333}, 'location': [172.1959855244137, 184.30437614753527], 'diameter': 43.4289959266897, 'sphere': {'center': [3.3079413520793133, -4.844142265806962, 10.46861122919563], 'radius': 12.0}, 'projected_sphere': {'center': [355.9117206081173, -166.89270611409307], 'axes': [1421.3919759004484, 1421.3919759004484], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 25, 'model_birth_timestamp': 50655.174799, 'theta': 1.9863303071951797, 'phi': -1.8768544954626882, 'norm_pos': [0.5381124547637928, 0.23206509938526976], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
