eye_packets,770
norm_X,norm_Y,phi,theta,confidence,timestamp
1596174915.302819,"{'circle_3d': {'center': [1.922391725598037, -0.19907403557229042, 20.79605713631908], 'normal': [0.4124890199725882, -0.5617187482727389, -0.7171644555058213], 'radius': 2.1614567843890375}, 'confidence': 0.1513901806301227, 'timestamp': 50303.800202, 'diameter_3d': 4.322913568778075, 'ellipse': {'center': [215.6234417114464, 116.7459799597516], 'axes': [87.09468946981487, 129.49359958295443], 'angle': -50.31607790781234}, 'location': [215.6234417114464, 116.7459799597516], 'diameter': 129.49359958295443, 'sphere': {'center': [-3.0274765140730215, 6.541550943700577, 29.402030602388937], 'radius': 12.0}, 'projected_sphere': {'center': [96.15966651729276, 257.9415469612097], 'axes': [506.08749447362965, 506.08749447362965], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 50299.096202, 'theta': 0.9743345200338772, 'phi': -1.048836874243418, 'norm_pos': [0.6738232553482699, 0.5135584168343683], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596174915.3094459,"{'circle_3d': {'center': [1.9178277632356497, -0.20026315215441226, 20.794364931502113], 'normal': [0.4121086897757226, -0.5618178413212491, -0.717305472573902], 'radius': 2.1558818831745907}, 'confidence': 0.11673406557465252, 'timestamp': 50303.808602, 'diameter_3d': 4.3117637663491815, 'ellipse': {'center': [215.50112925757122, 116.69741969924475], 'axes': [86.90520399308932, 129.16694234977697], 'angle': -50.35226836901839}, 'location': [215.50112925757122, 116.69741969924475], 'diameter': 129.16694234977697, 'sphere': {'center': [-3.0274765140730215, 6.541550943700577, 29.402030602388937], 'radius': 12.0}, 'projected_sphere': {'center': [96.15966651729276, 257.9415469612097], 'axes': [506.08749447362965, 506.08749447362965], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 50299.096202, 'theta': 0.9742147403971663, 'phi': -1.0493203917543577, 'norm_pos': [0.6734410289299101, 0.5137607512531469], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596174915.317503,"{'circle_3d': {'center': [1.9132358975476622, -0.20144300830665696, 20.792652376939017], 'normal': [0.4117260343017236, -0.5619161626672694, -0.7174481854541599], 'radius': 2.1556399021698383}, 'confidence': 0.119641879733324, 'timestamp': 50303.817002, 'diameter_3d': 4.3112798043396765, 'ellipse': {'center': [215.36964770393803, 116.66241625237424], 'axes': [86.933262841085, 129.16159624096633], 'angle': -50.38844928871572}, 'location': [215.36964770393803, 116.66241625237424], 'diameter': 129.16159624096633, 'sphere': {'center': [-3.0274765140730215, 6.541550943700577, 29.402030602388937], 'radius': 12.0}, 'projected_sphere': {'center': [96.15966651729276, 257.9415469612097], 'axes': [506.08749447362965, 506.08749447362965], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 50299.096202, 'theta': 0.9740958839321221, 'phi': -1.0498074463122287, 'norm_pos': [0.6730301490748063, 0.5139065989484406], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596174915.330391,"{'circle_3d': {'center': [1.9086161055718822, -0.20261360622973523, 20.790919514164003], 'normal': [0.41134105163707524, -0.5620137124941926, -0.717592590685411], 'radius': 2.158574859061}, 'confidence': 0.06409713221736517, 'timestamp': 50303.825402, 'diameter_3d': 4.317149718122, 'ellipse': {'center': [215.2323870392893, 116.63560409600805], 'axes': [87.0912467201854, 129.3477490449696], 'angle': -50.42468672651683}, 'location': [215.2323870392893, 116.63560409600805], 'diameter': 129.3477490449696, 'sphere': {'center': [-3.0274765140730215, 6.541550943700577, 29.402030602388937], 'radius': 12.0}, 'projected_sphere': {'center': [96.15966651729276, 257.9415469612097], 'axes': [506.08749447362965, 506.08749447362965], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 50299.096202, 'theta': 0.9739779506389509, 'phi': -1.0502980379161868, 'norm_pos': [0.6726012094977791, 0.5140183162666332], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596174915.3372428,"{'circle_3d': {'center': [1.9039683640658316, -0.20377494811096586, 20.789166385002545], 'normal': [0.4109537398449044, -0.5621104909842952, -0.7177386847821993], 'radius': 2.157232565784}, 'confidence': 0.13990714515761285, 'timestamp': 50303.833802, 'diameter_3d': 4.314465131568, 'ellipse': {'center': [215.10103017987714, 116.59840678247615], 'axes': [87.07529743199157, 129.2763729352878], 'angle': -50.46120418570718}, 'location': [215.10103017987714, 116.59840678247615], 'diameter': 129.2763729352878, 'sphere': {'center': [-3.0274765140730215, 6.541550943700577, 29.402030602388937], 'radius': 12.0}, 'projected_sphere': {'center': [96.15966651729276, 257.9415469612097], 'axes': [506.08749447362965, 506.08749447362965], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 50299.096202, 'theta': 0.9738609405175496, 'phi': -1.0507921665666526, 'norm_pos': [0.672190719312116, 0.5141733050730161], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596174915.3458502,"{'circle_3d': {'center': [1.9851912530603038, -0.20492703612016339, 20.83709063037883], 'normal': [0.4177223139277771, -0.5622064983183951, -0.7137449976675088], 'radius': 2.171579945295347}, 'confidence': 0.12227368917869191, 'timestamp': 50303.842202, 'diameter_3d': 4.343159890590694, 'ellipse': {'center': [217.3665915667455, 116.58642468898242], 'axes': [86.64937530124986, 129.8626359114745], 'angle': -49.96236358802073}, 'location': [217.3665915667455, 116.58642468898242], 'diameter': 129.8626359114745, 'sphere': {'center': [-3.0274765140730215, 6.541550943700577, 29.402030602388937], 'radius': 12.0}, 'projected_sphere': {'center': [96.15966651729276, 257.9415469612097], 'axes': [506.08749447362965, 506.08749447362965], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 50299.096202, 'theta': 0.9737448535679172, 'phi': -1.0412898322636257, 'norm_pos': [0.6792705986460797, 0.5142232304625732], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596174915.353219,"{'circle_3d': {'center': [1.9745546923917923, -0.20606987241063646, 20.831774064132055], 'normal': [0.4168359338720678, -0.5623017346759345, -0.7141880448547401], 'radius': 2.1822922863402603}, 'confidence': 0.06079723254796925, 'timestamp': 50303.850602, 'diameter_3d': 4.364584572680521, 'ellipse': {'center': [217.04832631207026, 116.58093563733675], 'axes': [87.19594237383055, 130.5369932658508], 'angle': -50.0347145451461}, 'location': [217.04832631207026, 116.58093563733675], 'diameter': 130.5369932658508, 'sphere': {'center': [-3.0274765140730215, 6.541550943700577, 29.402030602388937], 'radius': 12.0}, 'projected_sphere': {'center': [96.15966651729276, 257.9415469612097], 'axes': [506.08749447362965, 506.08749447362965], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 50299.096202, 'theta': 0.9736296897900544, 'phi': -1.0424855563899063, 'norm_pos': [0.6782760197252196, 0.5142461015110968], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596174915.3613088,"{'circle_3d': {'center': [1.9709821592153656, -0.20720345911918336, 20.83058236408936], 'normal': [0.4165382227740323, -0.5623962002349802, -0.7142873531916316], 'radius': 2.1704537784084836}, 'confidence': 0.11351348457574767, 'timestamp': 50303.859002, 'diameter_3d': 4.340907556816967, 'ellipse': {'center': [216.9643775875089, 116.51828781862318], 'axes': [86.7448437120707, 129.8313043866115], 'angle': -50.06419559587287}, 'location': [216.9643775875089, 116.51828781862318], 'diameter': 129.8313043866115, 'sphere': {'center': [-3.0274765140730215, 6.541550943700577, 29.402030602388937], 'radius': 12.0}, 'projected_sphere': {'center': [96.15966651729276, 257.9415469612097], 'axes': [506.08749447362965, 506.08749447362965], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 50299.096202, 'theta': 0.9735154491839608, 'phi': -1.042857054643704, 'norm_pos': [0.6780136799609653, 0.5145071340890701], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596174915.36935,"{'circle_3d': {'center': [1.9673876616107773, -0.2083277983670433, 20.82937238956753], 'normal': [0.41623868130698316, -0.5624898951723016, -0.7143881844017836], 'radius': 2.1660301208370942}, 'confidence': 0.10498219694262419, 'timestamp': 50303.867402, 'diameter_3d': 4.3320602416741885, 'ellipse': {'center': [216.86807228182727, 116.4744402930421], 'axes': [86.59345888416155, 129.57164512483547], 'angle': -50.09354879445207}, 'location': [216.86807228182727, 116.4744402930421], 'diameter': 129.57164512483547, 'sphere': {'center': [-3.0274765140730215, 6.541550943700577, 29.402030602388937], 'radius': 12.0}, 'projected_sphere': {'center': [96.15966651729276, 257.9415469612097], 'axes': [506.08749447362965, 506.08749447362965], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 50299.096202, 'theta': 0.9734021317495394, 'phi': -1.0432314506288527, 'norm_pos': [0.6777127258807102, 0.5146898321123246], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596174915.3774238,"{'circle_3d': {'center': [2.0835509522011906, -0.10989808683828439, 20.820910393865212], 'normal': [0.42591895552285103, -0.5542874192115718, -0.7150933507103104], 'radius': 2.166021229200207}, 'confidence': 0.09035025337744973, 'timestamp': 50303.875802, 'diameter_3d': 4.332042458400414, 'ellipse': {'center': [220.3188029640825, 119.38381754319366], 'axes': [86.60637578886136, 129.67433315320778], 'angle': -48.76460294143036}, 'location': [220.3188029640825, 119.38381754319366], 'diameter': 129.67433315320778, 'sphere': {'center': [-3.0274765140730215, 6.541550943700577, 29.402030602388937], 'radius': 12.0}, 'projected_sphere': {'center': [96.15966651729276, 257.9415469612097], 'axes': [506.08749447362965, 506.08749447362965], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 50299.096202, 'theta': 0.983289737486986, 'phi': -1.0336087443447037, 'norm_pos': [0.6884962592627578, 0.5025674269033598], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596174915.385505,"{'circle_3d': {'center': [2.0715860704261164, -0.11794579889142742, 20.820034104209306], 'normal': [0.4249218820415948, -0.554958061882667, -0.7151663748483026], 'radius': 2.169342188776799}, 'confidence': 0.09601810571178344, 'timestamp': 50303.884202, 'diameter_3d': 4.338684377553598, 'ellipse': {'center': [219.96230492956553, 119.1546891336533], 'axes': [86.77297698105478, 129.87471783506433], 'angle': -48.88777383530624}, 'location': [219.96230492956553, 119.1546891336533], 'diameter': 129.87471783506433, 'sphere': {'center': [-3.0274765140730215, 6.541550943700577, 29.402030602388937], 'radius': 12.0}, 'projected_sphere': {'center': [96.15966651729276, 257.9415469612097], 'axes': [506.08749447362965, 506.08749447362965], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 50299.096202, 'theta': 0.9824837752697592, 'phi': -1.034683426918023, 'norm_pos': [0.6873822029048923, 0.503522128609778], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
