eye_packets,764
norm_X,norm_Y,phi,theta,confidence,timestamp
1596428716.700636,"{'circle_3d': {'center': [-0.46046939548420207, 8.910890475861713, 66.12232917291715], 'normal': [-0.22302474486833412, 0.6142410095651455, -0.7569464613463791], 'radius': 2.2896168317858776}, 'confidence': 0.9990375082330462, 'timestamp': 137502.158896, 'diameter_3d': 4.579233663571755, 'ellipse': {'center': [155.8057321324522, 203.2504863793009], 'axes': [28.877699716900324, 42.97450673040178], 'angle': -71.855835507062}, 'location': [155.8057321324522, 203.2504863793009], 'diameter': 42.97450673040178, 'sphere': {'center': [2.2158275429358074, 1.5399983610799668, 75.2056867090737], 'radius': 12.0}, 'projected_sphere': {'center': [178.2674095103296, 132.69583492486586], 'axes': [197.85737822675452, 197.85737822675452], 'angle': 90.0}, 'model_confidence': 0.8664675298671543, 'model_id': 1, 'model_birth_timestamp': 137035.493767, 'theta': 2.232220112208553, 'phi': -1.8573260817044983, 'norm_pos': [0.4868929129139131, 0.1531229734195796], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596428716.710721,"{'circle_3d': {'center': [-0.4335684455423543, 8.921974790265669, 66.12344442562946], 'normal': [-0.2207829990398468, 0.6151647024321418, -0.7568535236203539], 'radius': 2.261599355451128}, 'confidence': 0.999319610209987, 'timestamp': 137502.167296, 'diameter_3d': 4.523198710902256, 'ellipse': {'center': [156.05391236722298, 203.3599913414535], 'axes': [28.51447500586028, 42.44760377452552], 'angle': -72.06511596360741}, 'location': [156.05391236722298, 203.3599913414535], 'diameter': 42.44760377452552, 'sphere': {'center': [2.2158275429358074, 1.5399983610799668, 75.2056867090737], 'radius': 12.0}, 'projected_sphere': {'center': [178.2674095103296, 132.69583492486586], 'axes': [197.85737822675452, 197.85737822675452], 'angle': 90.0}, 'model_confidence': 0.8665009015352942, 'model_id': 1, 'model_birth_timestamp': 137035.493767, 'theta': 2.233391183833887, 'phi': -1.8546319029256746, 'norm_pos': [0.4876684761475718, 0.15266670274394367], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596428716.7173371,"{'circle_3d': {'center': [-0.43688769240976066, 8.91882963422316, 66.12185761982673], 'normal': [-0.221059602945464, 0.614902606095266, -0.7569857574372479], 'radius': 2.2891616681026554}, 'confidence': 0.9986355101452785, 'timestamp': 137502.175696, 'diameter_3d': 4.578323336205311, 'ellipse': {'center': [156.02578487934187, 203.3252831577476], 'axes': [28.870826451384563, 42.9662150244021], 'angle': -72.0357373142195}, 'location': [156.02578487934187, 203.3252831577476], 'diameter': 42.9662150244021, 'sphere': {'center': [2.2158275429358074, 1.5399983610799668, 75.2056867090737], 'radius': 12.0}, 'projected_sphere': {'center': [178.2674095103296, 132.69583492486586], 'axes': [197.85737822675452, 197.85737822675452], 'angle': 90.0}, 'model_confidence': 0.8663050448294296, 'model_id': 1, 'model_birth_timestamp': 137035.493767, 'theta': 2.2330587855398294, 'phi': -1.8549216631610919, 'norm_pos': [0.48758057774794333, 0.1528113201760516], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596428716.725548,"{'circle_3d': {'center': [-0.44309852016036766, 8.913485599372969, 66.11933440808305], 'normal': [-0.22157717192468127, 0.6144572698577502, -0.7571960250825542], 'radius': 2.28558128341199}, 'confidence': 0.9982688546024756, 'timestamp': 137502.184096, 'diameter_3d': 4.57116256682398, 'ellipse': {'center': [155.9673131692344, 203.27938735135592], 'axes': [28.83924339752727, 42.90062347490274], 'angle': -71.98174380066902}, 'location': [155.9673131692344, 203.27938735135592], 'diameter': 42.90062347490274, 'sphere': {'center': [2.2158275429358074, 1.5399983610799668, 75.2056867090737], 'radius': 12.0}, 'projected_sphere': {'center': [178.2674095103296, 132.69583492486586], 'axes': [197.85737822675452, 197.85737822675452], 'angle': 90.0}, 'model_confidence': 0.8659299285624589, 'model_id': 1, 'model_birth_timestamp': 137035.493767, 'theta': 2.2324941944545724, 'phi': -1.8554766747074118, 'norm_pos': [0.48739785365385746, 0.1530025527026837], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596428716.733303,"{'circle_3d': {'center': [-0.4447928147335469, 8.920401608504347, 66.12544732799111], 'normal': [-0.22171836313911286, 0.6150336039520318, -0.7566866150902154], 'radius': 2.2539092128780007}, 'confidence': 0.9996277531048989, 'timestamp': 137502.192496, 'diameter_3d': 4.5078184257560014, 'ellipse': {'center': [155.9484076309891, 203.34489708338015], 'axes': [28.409123097304565, 42.30194293626268], 'angle': -71.9839803722957}, 'location': [155.9484076309891, 203.34489708338015], 'diameter': 42.30194293626268, 'sphere': {'center': [2.2158275429358074, 1.5399983610799668, 75.2056867090737], 'radius': 12.0}, 'projected_sphere': {'center': [178.2674095103296, 132.69583492486586], 'axes': [197.85737822675452, 197.85737822675452], 'angle': 90.0}, 'model_confidence': 0.8660366260011876, 'model_id': 1, 'model_birth_timestamp': 137035.493767, 'theta': 2.2332249101074226, 'phi': -1.855829973765524, 'norm_pos': [0.48733877384684093, 0.15272959548591603], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596428716.7431612,"{'circle_3d': {'center': [-0.4377588902556808, 8.934508456007809, 66.13487089694344], 'normal': [-0.22113220276595735, 0.6162091745773202, -0.7559013176775216], 'radius': 2.273400654351246}, 'confidence': 0.9991753188197843, 'timestamp': 137502.200896, 'diameter_3d': 4.546801308702492, 'ellipse': {'center': [156.01654984875438, 203.4600871808675], 'axes': [28.606867720764, 42.66187382437197], 'angle': -72.06135913847388}, 'location': [156.01654984875438, 203.4600871808675], 'diameter': 42.66187382437197, 'sphere': {'center': [2.2158275429358074, 1.5399983610799668, 75.2056867090737], 'radius': 12.0}, 'projected_sphere': {'center': [178.2674095103296, 132.69583492486586], 'axes': [197.85737822675452, 197.85737822675452], 'angle': 90.0}, 'model_confidence': 0.8660581954156532, 'model_id': 1, 'model_birth_timestamp': 137035.493767, 'theta': 2.2347166717501987, 'phi': -1.855396123971351, 'norm_pos': [0.48755171827735744, 0.15224963674638536], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596428716.752317,"{'circle_3d': {'center': [-0.43000534046180494, 8.927320018072619, 66.12675246053664], 'normal': [-0.2204860736164677, 0.615610138082721, -0.756577854044755], 'radius': 2.2552374095712073}, 'confidence': 0.9995570699345782, 'timestamp': 137502.209296, 'diameter_3d': 4.510474819142415, 'ellipse': {'center': [156.08664996310284, 203.4075588618574], 'axes': [28.41724063391259, 42.32601991190132], 'angle': -72.1006399516525}, 'location': [156.08664996310284, 203.4075588618574], 'diameter': 42.32601991190132, 'sphere': {'center': [2.2158275429358074, 1.5399983610799668, 75.2056867090737], 'radius': 12.0}, 'projected_sphere': {'center': [178.2674095103296, 132.69583492486586], 'axes': [197.85737822675452, 197.85737822675452], 'angle': 90.0}, 'model_confidence': 0.8662056879055746, 'model_id': 1, 'model_birth_timestamp': 137035.493767, 'theta': 2.2339562963141977, 'phi': -1.85436815534716, 'norm_pos': [0.4877707811346964, 0.1524685047422608], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596428716.762052,"{'circle_3d': {'center': [-0.45745374138216555, 8.930245414028569, 66.13717990413058], 'normal': [-0.22277344035983107, 0.6158539210790501, -0.7557089004119271], 'radius': 2.3004198812271506}, 'confidence': 0.9985199911605968, 'timestamp': 137502.217696, 'diameter_3d': 4.600839762454301, 'ellipse': {'center': [155.83573917389663, 203.41036551154565], 'axes': [28.938462064003275, 43.16770937157321], 'angle': -71.91625489844198}, 'location': [155.83573917389663, 203.41036551154565], 'diameter': 43.16770937157321, 'sphere': {'center': [2.2158275429358074, 1.5399983610799668, 75.2056867090737], 'radius': 12.0}, 'projected_sphere': {'center': [178.2674095103296, 132.69583492486586], 'axes': [197.85737822675452, 197.85737822675452], 'angle': 90.0}, 'model_confidence': 0.8659305665882466, 'model_id': 1, 'model_birth_timestamp': 137035.493767, 'theta': 2.234265683024813, 'phi': -1.8574640591210858, 'norm_pos': [0.48698668491842695, 0.15245681036855985], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596428716.7689202,"{'circle_3d': {'center': [-0.4451497985546169, 8.932158816846416, 66.13512093927315], 'normal': [-0.2217481117908687, 0.6160133713138707, -0.7558804808167121], 'radius': 2.2703453709481045}, 'confidence': 0.9992066210491686, 'timestamp': 137502.226096, 'diameter_3d': 4.540690741896209, 'ellipse': {'center': [155.9472546851417, 203.43865836411135], 'axes': [28.56822190754683, 42.60436524607782], 'angle': -72.00536138706929}, 'location': [155.9472546851417, 203.43865836411135], 'diameter': 42.60436524607782, 'sphere': {'center': [2.2158275429358074, 1.5399983610799668, 75.2056867090737], 'radius': 12.0}, 'projected_sphere': {'center': [178.2674095103296, 132.69583492486586], 'axes': [197.85737822675452, 197.85737822675452], 'angle': 90.0}, 'model_confidence': 0.8658397555426522, 'model_id': 1, 'model_birth_timestamp': 137035.493767, 'theta': 2.2344680829148453, 'phi': -1.8561539720966396, 'norm_pos': [0.4873351708910678, 0.15233892348286937], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596428716.776899,"{'circle_3d': {'center': [-0.43163993211297225, 8.929069080765814, 66.12865250906982], 'normal': [-0.22062228958739832, 0.615755893307154, -0.7564195166669901], 'radius': 2.268952185052092}, 'confidence': 0.9994851626832155, 'timestamp': 137502.234496, 'diameter_3d': 4.537904370104184, 'ellipse': {'center': [156.0729190795973, 203.41799758671826], 'axes': [28.580979905048213, 42.58233067294832], 'angle': -72.09283701719042}, 'location': [156.0729190795973, 203.41799758671826], 'diameter': 42.58233067294832, 'sphere': {'center': [2.2158275429358074, 1.5399983610799668, 75.2056867090737], 'radius': 12.0}, 'projected_sphere': {'center': [178.2674095103296, 132.69583492486586], 'axes': [197.85737822675452, 197.85737822675452], 'angle': 90.0}, 'model_confidence': 0.8657911142672781, 'model_id': 1, 'model_birth_timestamp': 137035.493767, 'theta': 2.234141266300121, 'phi': -1.8545903513989264, 'norm_pos': [0.4877278721237416, 0.1524250100553406], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596428716.784891,"{'circle_3d': {'center': [-0.4488032511543345, 8.926767413920157, 66.13180189102641], 'normal': [-0.22205256617417848, 0.6155640877366825, -0.756157068170607], 'radius': 2.264971278071086}, 'confidence': 0.999623574220736, 'timestamp': 137502.242896, 'diameter_3d': 4.529942556142172, 'ellipse': {'center': [155.9124324717438, 203.39375472537958], 'axes': [28.51760652676076, 42.50559999529647], 'angle': -71.96909399746704}, 'location': [155.9124324717438, 203.39375472537958], 'diameter': 42.50559999529647, 'sphere': {'center': [2.2158275429358074, 1.5399983610799668, 75.2056867090737], 'radius': 12.0}, 'projected_sphere': {'center': [178.2674095103296, 132.69583492486586], 'axes': [197.85737822675452, 197.85737822675452], 'angle': 90.0}, 'model_confidence': 0.8658299000007696, 'model_id': 1, 'model_birth_timestamp': 137035.493767, 'theta': 2.233897861894062, 'phi': -1.8564258749344402, 'norm_pos': [0.4872263514741994, 0.15252602197758514], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
