imu_packets,1278
IMUtimestamp,quatI,quatJ,quatK,quatReal,quatRadianAccuracy
1596428753.467842,B542576,0.04059,0.02417,-0.99780,0.04663,0.0170
1596428753.473582,B542581,0.04065,0.02411,-0.99780,0.04657,0.0170
1596428753.4792478,B542586,0.04065,0.02405,-0.99780,0.04645,0.0170
1596428753.484176,B542591,0.04071,0.02405,-0.99780,0.04639,0.0170
1596428753.488949,B542597,0.04071,0.02405,-0.99780,0.04633,0.0170
1596428753.493921,B542602,0.04071,0.02405,-0.99780,0.04626,0.0170
1596428753.4988391,B542607,0.04077,0.02405,-0.99780,0.04620,0.0170
1596428753.505075,B542612,0.04077,0.02405,-0.99780,0.04608,0.0170
1596428753.509703,B542617,0.04077,0.02411,-0.99780,0.04608,0.0170
1596428753.514394,B542622,0.04077,0.02411,-0.99780,0.04602,0.0170
1596428753.519286,B542627,0.04083,0.02411,-0.99780,0.04596,0.0170
1596428753.524682,B542632,0.04083,0.02411,-0.99780,0.04584,0.0170
1596428753.5335062,B542637,0.04083,0.02411,-0.99780,0.04578,0.0170
1596428753.5345962,B542642,0.04083,0.02411,-0.99780,0.04572,0.0170
1596428753.540294,B542648,0.04083,0.02411,-0.99780,0.04572,0.0170
1596428753.5466838,B542653,0.04089,0.02411,-0.99786,0.04553,0.0170
1596428753.550117,B542658,0.04089,0.02405,-0.99786,0.04553,0.0170
1596428753.5548182,B542663,0.04089,0.02405,-0.99786,0.04547,0.0170
1596428753.561161,B542668,0.04089,0.02405,-0.99786,0.04541,0.0170
1596428753.565206,B542673,0.04089,0.02399,-0.99786,0.04535,0.0170
1596428753.5698628,B542678,0.04089,0.02399,-0.99786,0.04529,0.0170
1596428753.5759108,B542683,0.04089,0.02399,-0.99786,0.04529,0.0170
1596428753.579925,B542688,0.04089,0.02393,-0.99786,0.04523,0.0170
1596428753.586151,B542693,0.04089,0.02393,-0.99786,0.04517,0.0170
1596428753.590993,B542698,0.04089,0.02393,-0.99786,0.04510,0.0170
1596428753.5949771,B542703,0.04089,0.02393,-0.99786,0.04510,0.0170
1596428753.6001961,B542708,0.04083,0.02393,-0.99786,0.04504,0.0170
1596428753.605011,B542713,0.04083,0.02393,-0.99786,0.04504,0.0170
1596428753.610563,B542718,0.04083,0.02399,-0.99786,0.04498,0.0170
1596428753.615463,B542723,0.04083,0.02405,-0.99786,0.04498,0.0170
1596428753.619894,B542728,0.04077,0.02405,-0.99786,0.04498,0.0170
1596428753.625109,B542733,0.04077,0.02411,-0.99786,0.04492,0.0170
1596428753.630102,B542738,0.04077,0.02417,-0.99786,0.04492,0.0170
1596428753.63633,B542743,0.04077,0.02423,-0.99786,0.04486,0.0170
1596428753.6402419,B542748,0.04077,0.02429,-0.99786,0.04486,0.0170
1596428753.6452212,B542753,0.04077,0.02435,-0.99786,0.04486,0.0170
1596428753.65013,B542758,0.04077,0.02441,-0.99786,0.04486,0.0170
1596428753.655472,B542763,0.04077,0.02448,-0.99786,0.04486,0.0170
1596428753.661367,B542768,0.04077,0.02454,-0.99786,0.04480,0.0170
1596428753.6652002,B542773,0.04077,0.02460,-0.99786,0.04480,0.0170
1596428753.670191,B542778,0.04077,0.02466,-0.99786,0.04480,0.0170
1596428753.67645,B542783,0.04077,0.02472,-0.99786,0.04474,0.0170
1596428753.679918,B542788,0.04083,0.02478,-0.99786,0.04474,0.0170
1596428753.685933,B542793,0.04083,0.02478,-0.99786,0.04474,0.0170
1596428753.690485,B542798,0.04089,0.02484,-0.99786,0.04468,0.0170
1596428753.6958709,B542803,0.04095,0.02490,-0.99786,0.04462,0.0170
1596428753.7006788,B542808,0.04095,0.02496,-0.99786,0.04462,0.0170
1596428753.704878,B542813,0.04102,0.02496,-0.99786,0.04456,0.0170
1596428753.709889,B542818,0.04102,0.02502,-0.99786,0.04449,0.0170
1596428753.7151449,B542823,0.04108,0.02509,-0.99786,0.04449,0.0170
1596428753.721142,B542828,0.04108,0.02509,-0.99786,0.04443,0.0170
1596428753.725027,B542833,0.04114,0.02509,-0.99786,0.04437,0.0170
1596428753.731049,B542838,0.04114,0.02515,-0.99786,0.04431,0.0170
1596428753.735167,B542843,0.04120,0.02515,-0.99786,0.04425,0.0170
1596428753.7400389,B542848,0.04120,0.02515,-0.99786,0.04419,0.0170
1596428753.7455091,B542853,0.04126,0.02515,-0.99786,0.04413,0.0170
1596428753.749867,B542858,0.04126,0.02515,-0.99786,0.04407,0.0170
1596428753.755265,B542863,0.04126,0.02515,-0.99786,0.04401,0.0170
1596428753.7605472,B542868,0.04126,0.02509,-0.99786,0.04395,0.0170
1596428753.765592,B542873,0.04126,0.02509,-0.99786,0.04395,0.0170
1596428753.7705019,B542878,0.04126,0.02509,-0.99786,0.04388,0.0170
1596428753.775321,B542883,0.04120,0.02502,-0.99786,0.04382,0.0170
1596428753.780031,B542888,0.04120,0.02502,-0.99786,0.04382,0.0170
1596428753.784849,B542893,0.04120,0.02502,-0.99786,0.04376,0.0170
1596428753.790004,B542898,0.04114,0.02502,-0.99786,0.04370,0.0170
1596428753.795129,B542903,0.04114,0.02502,-0.99786,0.04370,0.0170
1596428753.8010602,B542908,0.04108,0.02502,-0.99786,0.04364,0.0170
1596428753.8048599,B542913,0.04102,0.02502,-0.99786,0.04364,0.0170
1596428753.809824,B542918,0.04095,0.02502,-0.99792,0.04358,0.0170
1596428753.814914,B542923,0.04089,0.02502,-0.99792,0.04358,0.0170
1596428753.820381,B542928,0.04077,0.02502,-0.99792,0.04358,0.0170
1596428753.8259861,B542933,0.04065,0.02502,-0.99792,0.04352,0.0170
1596428753.830848,B542938,0.04053,0.02496,-0.99792,0.04358,0.0170
1596428753.834851,B542943,0.04041,0.02490,-0.99792,0.04358,0.0170
1596428753.840574,B542948,0.04028,0.02484,-0.99792,0.04364,0.0170
1596428753.845015,B542953,0.04016,0.02472,-0.99792,0.04370,0.0170
1596428753.849845,B542958,0.03998,0.02460,-0.99792,0.04382,0.0170
1596428753.855005,B542963,0.03979,0.02441,-0.99792,0.04401,0.0170
1596428753.861195,B542968,0.03961,0.02423,-0.99792,0.04419,0.0170
1596428753.865175,B542973,0.03949,0.02399,-0.99792,0.04443,0.0170
1596428753.87007,B542978,0.03931,0.02362,-0.99792,0.04474,0.0170
1596428753.875102,B542983,0.03918,0.02332,-0.99792,0.04498,0.0170
1596428753.881109,B542988,0.03900,0.02289,-0.99792,0.04535,0.0170
1596428753.884902,B542993,0.03882,0.02240,-0.99792,0.04578,0.0170
1596428753.89012,B542998,0.03864,0.02197,-0.99792,0.04614,0.0170
1596428753.897172,B543003,0.03851,0.02142,-0.99792,0.04651,0.0170
1596428753.900092,B543008,0.03833,0.02094,-0.99792,0.04700,0.0170
1596428753.905476,B543013,0.03815,0.02032,-0.99792,0.04749,0.0170
1596428753.9113941,B543018,0.03796,0.01978,-0.99792,0.04797,0.0170
1596428753.915039,B543023,0.03778,0.01923,-0.99792,0.04846,0.0170
1596428753.9200919,B543028,0.03760,0.01868,-0.99792,0.04901,0.0170
