eye_packets,776
norm_X,norm_Y,phi,theta,confidence,timestamp
1596588393.436513,"{'circle_3d': {'center': [3.0090085450887853, 3.71234601559895, 85.18334730561098], 'normal': [-0.1482982271779802, 0.6028097669910946, -0.783982155814793], 'radius': 2.6165865721836603}, 'confidence': 0.9996441718623086, 'timestamp': 161261.566558, 'diameter_3d': 5.233173144367321, 'ellipse': {'center': [181.97682617472347, 146.7532693325506], 'axes': [29.044019227324842, 38.131188247681145], 'angle': -79.0697335920779}, 'location': [181.97682617472347, 146.7532693325506], 'diameter': 38.131188247681145, 'sphere': {'center': [4.788587271224547, -3.521371188294185, 94.59113317538849], 'radius': 12.0}, 'projected_sphere': {'center': [191.38691765806755, 96.91908254556728], 'axes': [157.308613402589, 157.308613402589], 'angle': 90.0}, 'model_confidence': 0.8234867368383747, 'model_id': 34, 'model_birth_timestamp': 161120.836941, 'theta': 2.217814289670315, 'phi': -1.7577476162458276, 'norm_pos': [0.5686775817960108, 0.38852804444770583], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596588393.4459069,"{'circle_3d': {'center': [2.9954741520583488, 3.7217317525973304, 85.1931437558625], 'normal': [-0.1494260932638499, 0.6035919117409596, -0.7831657849605004], 'radius': 2.6046452445610453}, 'confidence': 0.9998705971843319, 'timestamp': 161261.574958, 'diameter_3d': 5.209290489122091, 'ellipse': {'center': [181.87553209100517, 146.82094423039985], 'axes': [28.874138552378284, 37.952634296109444], 'angle': -78.97267529152435}, 'location': [181.87553209100517, 146.82094423039985], 'diameter': 37.952634296109444, 'sphere': {'center': [4.788587271224547, -3.521371188294185, 94.59113317538849], 'radius': 12.0}, 'projected_sphere': {'center': [191.38691765806755, 96.91908254556728], 'axes': [157.308613402589, 157.308613402589], 'angle': 90.0}, 'model_confidence': 0.8255281329432762, 'model_id': 34, 'model_birth_timestamp': 161120.836941, 'theta': 2.2187949256951542, 'phi': -1.7593278978648352, 'norm_pos': [0.5683610377843912, 0.3882460657066673], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596588393.452966,"{'circle_3d': {'center': [3.0197277161076177, 3.7148249107686864, 85.18323214007893], 'normal': [-0.1474049629264108, 0.6030163415885726, -0.7839917529424637], 'radius': 2.6248784530646296}, 'confidence': 0.9994345946087465, 'timestamp': 161261.583358, 'diameter_3d': 5.249756906129259, 'ellipse': {'center': [182.05497401559424, 146.7695611893323], 'axes': [29.13492919495327, 38.25223954327208], 'angle': -79.15894185045549}, 'location': [182.05497401559424, 146.7695611893323], 'diameter': 38.25223954327208, 'sphere': {'center': [4.788587271224547, -3.521371188294185, 94.59113317538849], 'radius': 12.0}, 'projected_sphere': {'center': [191.38691765806755, 96.91908254556728], 'axes': [157.308613402589, 157.308613402589], 'angle': 90.0}, 'model_confidence': 0.8271851505174288, 'model_id': 34, 'model_birth_timestamp': 161120.836941, 'theta': 2.218073217738198, 'phi': -1.7566451320125578, 'norm_pos': [0.568921793798732, 0.3884601617111154], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596588393.460719,"{'circle_3d': {'center': [3.0067638008679602, 3.7223509669581434, 85.19147390188326], 'normal': [-0.14848528919638226, 0.603643512937694, -0.7833049394587697], 'radius': 2.647653077104086}, 'confidence': 0.9991824176028569, 'timestamp': 161261.591758, 'diameter_3d': 5.295306154208172, 'ellipse': {'center': [181.96024498523153, 146.81709035555792], 'axes': [29.356308115674356, 38.58041553775133], 'angle': -79.06409525223947}, 'location': [181.96024498523153, 146.81709035555792], 'diameter': 38.58041553775133, 'sphere': {'center': [4.788587271224547, -3.521371188294185, 94.59113317538849], 'radius': 12.0}, 'projected_sphere': {'center': [191.38691765806755, 96.91908254556728], 'axes': [157.308613402589, 157.308613402589], 'angle': 90.0}, 'model_confidence': 0.8291281329722677, 'model_id': 34, 'model_birth_timestamp': 161120.836941, 'theta': 2.218859647740286, 'phi': -1.7581360403553314, 'norm_pos': [0.5686257655788485, 0.38826212351850864], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596588393.4680178,"{'circle_3d': {'center': [2.939569670779544, 3.6984648152502375, 85.18607591904133], 'normal': [-0.1540848000370836, 0.6016530002953685, -0.7837547713622631], 'radius': 2.635141403553208}, 'confidence': 0.9993487320003722, 'timestamp': 161261.600158, 'diameter_3d': 5.270282807106416, 'ellipse': {'center': [181.4743052215514, 146.6481843881549], 'axes': [29.249807170316778, 38.39969216941039], 'angle': -78.49445263869936}, 'location': [181.4743052215514, 146.6481843881549], 'diameter': 38.39969216941039, 'sphere': {'center': [4.788587271224547, -3.521371188294185, 94.59113317538849], 'radius': 12.0}, 'projected_sphere': {'center': [191.38691765806755, 96.91908254556728], 'axes': [157.308613402589, 157.308613402589], 'angle': 90.0}, 'model_confidence': 0.832515967644476, 'model_id': 34, 'model_birth_timestamp': 161120.836941, 'theta': 2.216365290940179, 'phi': -1.764918823497725, 'norm_pos': [0.5671072038173481, 0.3889658983826879], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596588393.4766562,"{'circle_3d': {'center': [2.8986705636364207, 3.699398398636018, 85.19492641889133], 'normal': [-0.15749305896567722, 0.6017307989108502, -0.7830172297080976], 'radius': 2.648758052360477}, 'confidence': 0.9992178945402109, 'timestamp': 161261.608558, 'diameter_3d': 5.297516104720954, 'ellipse': {'center': [181.17669404560309, 146.64970170283905], 'axes': [29.371270243270196, 38.59376291102552], 'angle': -78.16792746686902}, 'location': [181.17669404560309, 146.64970170283905], 'diameter': 38.59376291102552, 'sphere': {'center': [4.788587271224547, -3.521371188294185, 94.59113317538849], 'radius': 12.0}, 'projected_sphere': {'center': [191.38691765806755, 96.91908254556728], 'axes': [157.308613402589, 157.308613402589], 'angle': 90.0}, 'model_confidence': 0.8341995732337071, 'model_id': 34, 'model_birth_timestamp': 161120.836941, 'theta': 2.216462694047042, 'phi': -1.7692840847641893, 'norm_pos': [0.5661771688925097, 0.38895957623817057], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596588393.483732,"{'circle_3d': {'center': [2.942190357241045, 3.7439788122458326, 85.22067385870153], 'normal': [-0.1538664094986252, 0.6054458333783348, -0.780871609723913], 'radius': 2.659188708993457}, 'confidence': 0.9993479238068365, 'timestamp': 161261.616958, 'diameter_3d': 5.318377417986914, 'ellipse': {'center': [181.48580620418315, 146.96315111806197], 'axes': [29.37483212342593, 38.73470284312582], 'angle': -78.57487717715557}, 'location': [181.48580620418315, 146.96315111806197], 'diameter': 38.73470284312582, 'sphere': {'center': [4.788587271224547, -3.521371188294185, 94.59113317538849], 'radius': 12.0}, 'projected_sphere': {'center': [191.38691765806755, 96.91908254556728], 'axes': [157.308613402589, 157.308613402589], 'angle': 90.0}, 'model_confidence': 0.8383675910897281, 'model_id': 34, 'model_birth_timestamp': 161120.836941, 'theta': 2.2211222469932657, 'phi': -1.7653483940659391, 'norm_pos': [0.5671431443880723, 0.38765353700807514], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596588393.492307,"{'circle_3d': {'center': [2.925854011681253, 3.728787952058574, 85.21214510399452], 'normal': [-0.15522777162860787, 0.6041799283627299, -0.7815823392828316], 'radius': 2.666735014676663}, 'confidence': 0.9989166635907749, 'timestamp': 161261.625358, 'diameter_3d': 5.333470029353326, 'ellipse': {'center': [181.3702060093352, 146.8539985733211], 'axes': [29.495816723278192, 38.84833189928934], 'angle': -78.42468618090486}, 'location': [181.3702060093352, 146.8539985733211], 'diameter': 38.84833189928934, 'sphere': {'center': [4.788587271224547, -3.521371188294185, 94.59113317538849], 'radius': 12.0}, 'projected_sphere': {'center': [191.38691765806755, 96.91908254556728], 'axes': [157.308613402589, 157.308613402589], 'angle': 90.0}, 'model_confidence': 0.8413083086484918, 'model_id': 34, 'model_birth_timestamp': 161120.836941, 'theta': 2.219532647724344, 'phi': -1.7668521645097506, 'norm_pos': [0.5667818937791724, 0.38810833927782873], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596588393.50639,"{'circle_3d': {'center': [2.965446730869163, 3.7124834514615364, 85.1917977935119], 'normal': [-0.1519283783629487, 0.6028212199796434, -0.7832779484897167], 'radius': 2.6064525960132072}, 'confidence': 0.9990689761844821, 'timestamp': 161261.633758, 'diameter_3d': 5.2129051920264144, 'ellipse': {'center': [181.65851870839245, 146.75397301739534], 'axes': [28.904198859174667, 37.97924204141598], 'angle': -78.72018311032402}, 'location': [181.65851870839245, 146.75397301739534], 'diameter': 37.97924204141598, 'sphere': {'center': [4.788587271224547, -3.521371188294185, 94.59113317538849], 'radius': 12.0}, 'projected_sphere': {'center': [191.38691765806755, 96.91908254556728], 'axes': [157.308613402589, 157.308613402589], 'angle': 90.0}, 'model_confidence': 0.8443248370142875, 'model_id': 34, 'model_birth_timestamp': 161120.836941, 'theta': 2.217828643933708, 'phi': -1.7623821662531085, 'norm_pos': [0.5676828709637264, 0.3885251124275194], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596588393.5118442,"{'circle_3d': {'center': [2.93515721768508, 3.725282802806114, 85.20759423904327], 'normal': [-0.1544525044616223, 0.6038878325916915, -0.7819615780287684], 'radius': 2.617958018458418}, 'confidence': 0.998962241667315, 'timestamp': 161261.642158, 'diameter_3d': 5.235916036916836, 'ellipse': {'center': [181.43577094938388, 146.8399164236185], 'axes': [28.972832526526336, 38.13961529269503], 'angle': -78.49430493411066}, 'location': [181.43577094938388, 146.8399164236185], 'diameter': 38.13961529269503, 'sphere': {'center': [4.788587271224547, -3.521371188294185, 94.59113317538849], 'radius': 12.0}, 'projected_sphere': {'center': [191.38691765806755, 96.91908254556728], 'axes': [157.308613402589, 157.308613402589], 'angle': 90.0}, 'model_confidence': 0.8473131381330323, 'model_id': 34, 'model_birth_timestamp': 161120.836941, 'theta': 2.2191661346313976, 'phi': -1.7658054654101876, 'norm_pos': [0.5669867842168246, 0.38816701490158967], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596588393.5226922,"{'circle_3d': {'center': [2.9448715088306514, 3.7448520178587508, 85.22082301478736], 'normal': [-0.15364298019949135, 0.6055186005127446, -0.7808591800500946], 'radius': 2.6501247949541717}, 'confidence': 0.9996423054148007, 'timestamp': 161261.650557, 'diameter_3d': 5.3002495899083435, 'ellipse': {'center': [181.5046270132695, 146.97130374333926], 'axes': [29.27360708310756, 38.602587482603816], 'angle': -78.59736989894131}, 'location': [181.5046270132695, 146.97130374333926], 'diameter': 38.602587482603816, 'sphere': {'center': [4.788587271224547, -3.521371188294185, 94.59113317538849], 'radius': 12.0}, 'projected_sphere': {'center': [191.38691765806755, 96.91908254556728], 'axes': [157.308613402589, 157.308613402589], 'angle': 90.0}, 'model_confidence': 0.850549754186003, 'model_id': 34, 'model_birth_timestamp': 161120.836941, 'theta': 2.2212136792062354, 'phi': -1.7650759604309938, 'norm_pos': [0.5672019594164672, 0.3876195677360864], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
