eye_packets,768
norm_X,norm_Y,phi,theta,confidence,timestamp
1596593240.245596,"{'circle_3d': {'center': [4.183248080481663, 7.975216827359068, 84.2857930473802], 'normal': [-0.28755202904266614, 0.5814527940660693, -0.761069299647678], 'radius': 3.2713806933271554}, 'confidence': 0.9706036728258085, 'timestamp': 164219.113982, 'diameter_3d': 6.542761386654311, 'ellipse': {'center': [190.99571012456036, 178.28872960455993], 'axes': [34.57761267365218, 48.299462209614155], 'angle': -68.42642639376008}, 'location': [190.99571012456036, 178.28872960455993], 'diameter': 48.299462209614155, 'sphere': {'center': [7.633872428993657, 0.997783298566237, 93.41862464315233], 'radius': 12.0}, 'projected_sphere': {'center': [210.66442504431583, 126.622080419982], 'axes': [159.28301296277667, 159.28301296277667], 'angle': 90.0}, 'model_confidence': 0.6020536240524232, 'model_id': 66, 'model_birth_timestamp': 163759.151135, 'theta': 2.1913095607657165, 'phi': -1.9320425800280772, 'norm_pos': [0.5968615941392511, 0.25713029331433357], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596593240.25431,"{'circle_3d': {'center': [4.227783351597476, 7.972444122894827, 84.2669765083944], 'normal': [-0.2838407564496817, 0.5812217353607159, -0.7626373445631616], 'radius': 3.2553415490317046}, 'confidence': 0.9344522916446045, 'timestamp': 164219.122382, 'diameter_3d': 6.510683098063409, 'ellipse': {'center': [191.3260542135875, 178.2840527205617], 'axes': [34.48994052773519, 48.07358621394032], 'angle': -68.73961550887266}, 'location': [191.3260542135875, 178.2840527205617], 'diameter': 48.07358621394032, 'sphere': {'center': [7.633872428993657, 0.997783298566237, 93.41862464315233], 'radius': 12.0}, 'projected_sphere': {'center': [210.66442504431583, 126.622080419982], 'axes': [159.28301296277667, 159.28301296277667], 'angle': 90.0}, 'model_confidence': 0.6021671483107061, 'model_id': 66, 'model_birth_timestamp': 163759.151135, 'theta': 2.1910255871877933, 'phi': -1.9270951311281055, 'norm_pos': [0.597893919417461, 0.2571497803309929], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596593240.261593,"{'circle_3d': {'center': [4.216736154511623, 7.979913850415148, 84.27679590714129], 'normal': [-0.2847613562068361, 0.5818442126540759, -0.7618190613342527], 'radius': 3.3236794908138036}, 'confidence': 0.9936061914726209, 'timestamp': 164219.130782, 'diameter_3d': 6.647358981627607, 'ellipse': {'center': [191.25089689514004, 178.31654083822718], 'axes': [35.16628503416758, 49.07767143330773], 'angle': -68.67715097550516}, 'location': [191.25089689514004, 178.31654083822718], 'diameter': 49.07767143330773, 'sphere': {'center': [7.633872428993657, 0.997783298566237, 93.41862464315233], 'radius': 12.0}, 'projected_sphere': {'center': [210.66442504431583, 126.622080419982], 'axes': [159.28301296277667, 159.28301296277667], 'angle': 90.0}, 'model_confidence': 0.6042934813225487, 'model_id': 66, 'model_birth_timestamp': 163759.151135, 'theta': 2.191790749893028, 'phi': -1.9285069157805155, 'norm_pos': [0.5976590527973127, 0.2570144131740534], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596593240.269973,"{'circle_3d': {'center': [4.194339086200014, 7.967286228638775, 84.27555955033355], 'normal': [-0.28662777856613697, 0.5807919108393782, -0.7619220910682307], 'radius': 3.294042338778474}, 'confidence': 0.9984500446723138, 'timestamp': 164219.139182, 'diameter_3d': 6.588084677556948, 'ellipse': {'center': [191.08377140429255, 178.23203941001657], 'axes': [34.86780525028854, 48.6402082133723], 'angle': -68.48811534435941}, 'location': [191.08377140429255, 178.23203941001657], 'diameter': 48.6402082133723, 'sphere': {'center': [7.633872428993657, 0.997783298566237, 93.41862464315233], 'radius': 12.0}, 'projected_sphere': {'center': [210.66442504431583, 126.622080419982], 'axes': [159.28301296277667, 159.28301296277667], 'angle': 90.0}, 'model_confidence': 0.6066594578253093, 'model_id': 66, 'model_birth_timestamp': 163759.151135, 'theta': 2.190497481489603, 'phi': -1.9306102294716019, 'norm_pos': [0.5971367856384142, 0.2573665024582643], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596593240.276772,"{'circle_3d': {'center': [4.201612743640452, 7.9702172497838415, 84.27506088233088], 'normal': [-0.2860216404461004, 0.5810361626014671, -0.7619636467351203], 'radius': 3.297900462237073}, 'confidence': 0.9984027606925983, 'timestamp': 164219.147582, 'diameter_3d': 6.595800924474146, 'ellipse': {'center': [191.13760387840455, 178.25285795547836], 'axes': [34.90847957089848, 48.69758250301496], 'angle': -68.5468853335289}, 'location': [191.13760387840455, 178.25285795547836], 'diameter': 48.69758250301496, 'sphere': {'center': [7.633872428993657, 0.997783298566237, 93.41862464315233], 'radius': 12.0}, 'projected_sphere': {'center': [210.66442504431583, 126.622080419982], 'axes': [159.28301296277667, 159.28301296277667], 'angle': 90.0}, 'model_confidence': 0.6086231101138262, 'model_id': 66, 'model_birth_timestamp': 163759.151135, 'theta': 2.190797558016333, 'phi': -1.9298951905400128, 'norm_pos': [0.5973050121200142, 0.2572797585188401], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596593240.286129,"{'circle_3d': {'center': [4.207758503567764, 7.989293110162702, 84.28733043453364], 'normal': [-0.28550949378549106, 0.5826258176330388, -0.7609411840515571], 'radius': 3.3517142091049235}, 'confidence': 0.9987184894382034, 'timestamp': 164219.155982, 'diameter_3d': 6.703428418209847, 'ellipse': {'center': [191.1851484283355, 178.37177577764237], 'axes': [35.40956946135217, 49.48571340048234], 'angle': -68.63377529415595}, 'location': [191.1851484283355, 178.37177577764237], 'diameter': 49.48571340048234, 'sphere': {'center': [7.633872428993657, 0.997783298566237, 93.41862464315233], 'radius': 12.0}, 'projected_sphere': {'center': [210.66442504431583, 126.622080419982], 'axes': [159.28301296277667, 159.28301296277667], 'angle': 90.0}, 'model_confidence': 0.6109788880808376, 'model_id': 66, 'model_birth_timestamp': 163759.151135, 'theta': 2.1927521094449816, 'phi': -1.9297473524317426, 'norm_pos': [0.5974535888385485, 0.25678426759315676], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596593240.296521,"{'circle_3d': {'center': [4.210895173454658, 7.974368936890494, 84.27474802876222], 'normal': [-0.2852481046282499, 0.5813821365270214, -0.7619897178658428], 'radius': 3.269295713311395}, 'confidence': 0.9677402410355848, 'timestamp': 164219.164382, 'diameter_3d': 6.53859142662279, 'ellipse': {'center': [191.20158626712882, 178.28999016993535], 'axes': [34.603323513272954, 48.27520857762724], 'angle': -68.6226701369026}, 'location': [191.20158626712882, 178.28999016993535], 'diameter': 48.27520857762724, 'sphere': {'center': [7.633872428993657, 0.997783298566237, 93.41862464315233], 'radius': 12.0}, 'projected_sphere': {'center': [210.66442504431583, 126.622080419982], 'axes': [159.28301296277667, 159.28301296277667], 'angle': 90.0}, 'model_confidence': 0.61058094098565, 'model_id': 66, 'model_birth_timestamp': 163759.151135, 'theta': 2.1912227157915427, 'phi': -1.928993851233193, 'norm_pos': [0.5975049570847776, 0.25712504095860267], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596593240.30569,"{'circle_3d': {'center': [4.174804469628389, 7.9471880763083895, 84.26763441872376], 'normal': [-0.288255663280439, 0.5791170648118461, -0.7625825187023804], 'radius': 3.2866652112271515}, 'confidence': 0.9838326343595092, 'timestamp': 164219.172781, 'diameter_3d': 6.573330422454303, 'ellipse': {'center': [190.94318737151076, 178.09198087064726], 'axes': [34.83968705903451, 48.535476273482466], 'angle': -68.30245370148276}, 'location': [190.94318737151076, 178.09198087064726], 'diameter': 48.535476273482466, 'sphere': {'center': [7.633872428993657, 0.997783298566237, 93.41862464315233], 'radius': 12.0}, 'projected_sphere': {'center': [210.66442504431583, 126.622080419982], 'axes': [159.28301296277667, 159.28301296277667], 'angle': 90.0}, 'model_confidence': 0.6110350295437383, 'model_id': 66, 'model_birth_timestamp': 163759.151135, 'theta': 2.188441569035532, 'phi': -1.9321939297259425, 'norm_pos': [0.5966974605359712, 0.25795007970563644], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596593240.312641,"{'circle_3d': {'center': [4.178754600788391, 7.948002987495524, 84.26676105867742], 'normal': [-0.2879264856837721, 0.5791849740774406, -0.7626552987062418], 'radius': 3.2934415134336406}, 'confidence': 0.8641670654089353, 'timestamp': 164219.181181, 'diameter_3d': 6.586883026867281, 'ellipse': {'center': [190.9733070734122, 178.09691245282866], 'axes': [34.9147166629352, 48.63615212964525], 'angle': -68.33267826899066}, 'location': [190.9733070734122, 178.09691245282866], 'diameter': 48.63615212964525, 'sphere': {'center': [7.633872428993657, 0.997783298566237, 93.41862464315233], 'radius': 12.0}, 'projected_sphere': {'center': [210.66442504431583, 126.622080419982], 'axes': [159.28301296277667, 159.28301296277667], 'angle': 90.0}, 'model_confidence': 0.6104244733376563, 'model_id': 66, 'model_birth_timestamp': 163759.151135, 'theta': 2.1885248707733953, 'phi': -1.931784644672394, 'norm_pos': [0.5967915846044132, 0.2579295314465473], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596593240.3211362,"{'circle_3d': {'center': [4.1536222059817725, 7.976856452013276, 84.29829590433701], 'normal': [-0.29002085191765703, 0.58158942945392, -0.7600273949012761], 'radius': 3.308869539614658}, 'confidence': 0.9449308938197086, 'timestamp': 164219.189581, 'diameter_3d': 6.617739079229316, 'ellipse': {'center': [190.77979063853866, 178.2841452558065], 'axes': [34.91900418307275, 48.84583412247555], 'angle': -68.21848330894376}, 'location': [190.77979063853866, 178.2841452558065], 'diameter': 48.84583412247555, 'sphere': {'center': [7.633872428993657, 0.997783298566237, 93.41862464315233], 'radius': 12.0}, 'projected_sphere': {'center': [210.66442504431583, 126.622080419982], 'axes': [159.28301296277667, 159.28301296277667], 'angle': 90.0}, 'model_confidence': 0.6107968654552098, 'model_id': 66, 'model_birth_timestamp': 163759.151135, 'theta': 2.1914775142127954, 'phi': -1.9353342720991817, 'norm_pos': [0.5961868457454333, 0.2571493947674729], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596593240.331247,"{'circle_3d': {'center': [4.206293592973978, 7.98152942101589, 84.28194070312028], 'normal': [-0.28563156966830655, 0.5819788435374711, -0.7613903283360035], 'radius': 3.283804769458397}, 'confidence': 0.9888993914594213, 'timestamp': 164219.197981, 'diameter_3d': 6.567609538916794, 'ellipse': {'center': [191.16716816473942, 178.33438251095407], 'axes': [34.72053423560584, 48.48546052370865], 'angle': -68.60571296281161}, 'location': [191.16716816473942, 178.33438251095407], 'diameter': 48.48546052370865, 'sphere': {'center': [7.633872428993657, 0.997783298566237, 93.41862464315233], 'radius': 12.0}, 'projected_sphere': {'center': [210.66442504431583, 126.622080419982], 'axes': [159.28301296277667, 159.28301296277667], 'angle': 90.0}, 'model_confidence': 0.6108555586636255, 'model_id': 66, 'model_birth_timestamp': 163759.151135, 'theta': 2.1919562962030366, 'phi': -1.929693878201643, 'norm_pos': [0.5973974005148107, 0.2569400728710247], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596593240.336869,"{'circle_3d': {'center': [4.197616525771553, 7.984465044710863, 84.28744599274467], 'normal': [-0.28635465860184195, 0.5822234788453855, -0.7609315542006386], 'radius': 3.310810719486739}, 'confidence': 0.9866088096659483, 'timestamp': 164219.206381, 'diameter_3d': 6.621621438973478, 'ellipse': {'center': [191.10539410092346, 178.3460663718708], 'axes': [34.98029775055459, 48.881219414643056], 'angle': -68.55021218269944}, 'location': [191.10539410092346, 178.3460663718708], 'diameter': 48.881219414643056, 'sphere': {'center': [7.633872428993657, 0.997783298566237, 93.41862464315233], 'radius': 12.0}, 'projected_sphere': {'center': [210.66442504431583, 126.622080419982], 'axes': [159.28301296277667, 159.28301296277667], 'angle': 90.0}, 'model_confidence': 0.6110044522347868, 'model_id': 66, 'model_birth_timestamp': 163759.151135, 'theta': 2.192257157577854, 'phi': -1.930724786401183, 'norm_pos': [0.5972043565653858, 0.2568913901172051], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596593240.345036,"{'circle_3d': {'center': [4.220033892450189, 7.987819344471973, 84.28160639192018], 'normal': [-0.2844865447119556, 0.582503003825478, -0.7614181876026784], 'radius': 3.305757536783203}, 'confidence': 0.9823963797640324, 'timestamp': 164219.214781, 'diameter_3d': 6.611515073566406, 'ellipse': {'center': [191.2706238428682, 178.37541393851535], 'axes': [34.94927378916674, 48.810153037913395], 'angle': -68.71830397050954}, 'location': [191.2706238428682, 178.37541393851535], 'diameter': 48.810153037913395, 'sphere': {'center': [7.633872428993657, 0.997783298566237, 93.41862464315233], 'radius': 12.0}, 'projected_sphere': {'center': [210.66442504431583, 126.622080419982], 'axes': [159.28301296277667, 159.28301296277667], 'angle': 90.0}, 'model_confidence': 0.6119663049968138, 'model_id': 66, 'model_birth_timestamp': 163759.151135, 'theta': 2.192601006905604, 'phi': -1.9283629026512135, 'norm_pos': [0.5977206995089631, 0.2567691085895194], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596593240.35627,"{'circle_3d': {'center': [4.151263157802237, 7.970448745819588, 84.29429621718634], 'normal': [-0.2902174392659516, 0.5810554539377792, -0.7603607021638316], 'radius': 3.320119553060727}, 'confidence': 0.9698474238414271, 'timestamp': 164219.223181, 'diameter_3d': 6.640239106121454, 'ellipse': {'center': [190.76568493212883, 178.23727228711255], 'axes': [35.06038326239914, 49.014280695172545], 'angle': -68.18708375525327}, 'location': [190.76568493212883, 178.23727228711255], 'diameter': 49.014280695172545, 'sphere': {'center': [7.633872428993657, 0.997783298566237, 93.41862464315233], 'radius': 12.0}, 'projected_sphere': {'center': [210.66442504431583, 126.622080419982], 'axes': [159.28301296277667, 159.28301296277667], 'angle': 90.0}, 'model_confidence': 0.6126561301830757, 'model_id': 66, 'model_birth_timestamp': 163759.151135, 'theta': 2.190821261207317, 'phi': -1.9354139406932458, 'norm_pos': [0.5961427654129026, 0.2573446988036977], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596593240.360877,"{'circle_3d': {'center': [4.172258284137117, 7.966797900361234, 84.28352404205891], 'normal': [-0.28846784540471165, 0.5807512168162497, -0.7612583834244511], 'radius': 3.2957535111384475}, 'confidence': 0.9533089577506118, 'timestamp': 164219.231581, 'diameter_3d': 6.591507022276895, 'ellipse': {'center': [190.91970936412687, 178.2230628753587], 'axes': [34.85206375712975, 48.66070520935152], 'angle': -68.32881487298401}, 'location': [190.91970936412687, 178.2230628753587], 'diameter': 48.66070520935152, 'sphere': {'center': [7.633872428993657, 0.997783298566237, 93.41862464315233], 'radius': 12.0}, 'projected_sphere': {'center': [210.66442504431583, 126.622080419982], 'axes': [159.28301296277667, 159.28301296277667], 'angle': 90.0}, 'model_confidence': 0.6131642514493274, 'model_id': 66, 'model_birth_timestamp': 163759.151135, 'theta': 2.1904474929207023, 'phi': -1.9330128484631985, 'norm_pos': [0.5966240917628964, 0.2574039046860055], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
