eye_packets,769
norm_X,norm_Y,phi,theta,confidence,timestamp
1596613963.595414,"{'circle_3d': {'center': [-1.6476849322806015, 4.310470202411642, 74.38880966921424], 'normal': [-0.19742079336389398, 0.5015551048032136, -0.8422989417026522], 'radius': 2.6934766693159355}, 'confidence': 0.8928725580832474, 'timestamp': 172273.767067, 'diameter_3d': 5.386953338631871, 'ellipse': {'center': [146.39720979108588, 155.59615684616634], 'axes': [36.330208894377606, 44.90659109787545], 'angle': -68.55886564322107}, 'location': [146.39720979108588, 155.59615684616634], 'diameter': 44.90659109787545, 'sphere': {'center': [0.7213645880861262, -1.7081910552269222, 84.49639696964607], 'radius': 12.0}, 'projected_sphere': {'center': [165.2930782927237, 107.46599272604313], 'axes': [176.10218344985046, 176.10218344985046], 'angle': 90.0}, 'model_confidence': 0.8359160335658311, 'model_id': 168, 'model_birth_timestamp': 172218.25059, 'theta': 2.096191715503964, 'phi': -1.8010237681594676, 'norm_pos': [0.4574912805971434, 0.35168267980764023], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596613963.6017332,"{'circle_3d': {'center': [-1.66054440055773, 4.309132948353784, 74.39103594661731], 'normal': [-0.19849241572032136, 0.5014436669650588, -0.8421134185857309], 'radius': 2.675589898072147}, 'confidence': 0.9997214683325185, 'timestamp': 172273.775467, 'diameter_3d': 5.351179796144294, 'ellipse': {'center': [146.28936562119407, 155.58848358050074], 'axes': [36.07756867286919, 44.60693652947574], 'angle': -68.4450866745421}, 'location': [146.28936562119407, 155.58848358050074], 'diameter': 44.60693652947574, 'sphere': {'center': [0.7213645880861262, -1.7081910552269222, 84.49639696964607], 'radius': 12.0}, 'projected_sphere': {'center': [165.2930782927237, 107.46599272604313], 'axes': [176.10218344985046, 176.10218344985046], 'angle': 90.0}, 'model_confidence': 0.8367979766223832, 'model_id': 168, 'model_birth_timestamp': 172218.25059, 'theta': 2.0960629091608043, 'phi': -1.8022786175931924, 'norm_pos': [0.45715426756623145, 0.3517146517479136], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596613963.610176,"{'circle_3d': {'center': [-1.6539671544844805, 4.324525042166375, 74.39866773971579], 'normal': [-0.1979443118808839, 0.5027263414494414, -0.8414774358275231], 'radius': 2.6708359402953565}, 'confidence': 0.9998886193568463, 'timestamp': 172273.783867, 'diameter_3d': 5.341671880590713, 'ellipse': {'center': [146.34464512265174, 155.71377934160125], 'axes': [35.974986010743805, 44.5231120590892], 'angle': -68.55234021304567}, 'location': [146.34464512265174, 155.71377934160125], 'diameter': 44.5231120590892, 'sphere': {'center': [0.7213645880861262, -1.7081910552269222, 84.49639696964607], 'radius': 12.0}, 'projected_sphere': {'center': [165.2930782927237, 107.46599272604313], 'axes': [176.10218344985046, 176.10218344985046], 'angle': 90.0}, 'model_confidence': 0.8376263318241817, 'model_id': 168, 'model_birth_timestamp': 172218.25059, 'theta': 2.097546081704798, 'phi': -1.8018302643513309, 'norm_pos': [0.4573270160082867, 0.3511925860766615], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596613963.618311,"{'circle_3d': {'center': [-1.6821073709724668, 4.323052637863029, 74.40444859202435], 'normal': [-0.2002893299215494, 0.5026036410908292, -0.8409956981351436], 'radius': 2.6873866179681025}, 'confidence': 0.9999497302593978, 'timestamp': 172273.792267, 'diameter_3d': 5.374773235936205, 'ellipse': {'center': [146.11421436279113, 155.6950359285039], 'axes': [36.16888000480722, 44.795657911984115], 'angle': -68.30904047834508}, 'location': [146.11421436279113, 155.6950359285039], 'diameter': 44.795657911984115, 'sphere': {'center': [0.7213645880861262, -1.7081910552269222, 84.49639696964607], 'radius': 12.0}, 'projected_sphere': {'center': [165.2930782927237, 107.46599272604313], 'axes': [176.10218344985046, 176.10218344985046], 'angle': 90.0}, 'model_confidence': 0.8390993254632106, 'model_id': 168, 'model_birth_timestamp': 172218.25059, 'theta': 2.0974041464659865, 'phi': -1.8045983125465952, 'norm_pos': [0.45660691988372226, 0.3512706836312337], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596613963.62599,"{'circle_3d': {'center': [-1.6691894092052348, 4.332235335232428, 74.40687266928995], 'normal': [-0.19921283310761345, 0.5033688658716126, -0.8407936916963428], 'radius': 2.674297055224451}, 'confidence': 0.9998710265908566, 'timestamp': 172273.800667, 'diameter_3d': 5.348594110448902, 'ellipse': {'center': [146.2203066290173, 155.7732000379736], 'axes': [35.9803363219837, 44.57594529620577], 'angle': -68.44907208909207}, 'location': [146.2203066290173, 155.7732000379736], 'diameter': 44.57594529620577, 'sphere': {'center': [0.7213645880861262, -1.7081910552269222, 84.49639696964607], 'radius': 12.0}, 'projected_sphere': {'center': [165.2930782927237, 107.46599272604313], 'axes': [176.10218344985046, 176.10218344985046], 'angle': 90.0}, 'model_confidence': 0.8401805852802369, 'model_id': 168, 'model_birth_timestamp': 172218.25059, 'theta': 2.098289521659291, 'phi': -1.8034405289560855, 'norm_pos': [0.4569384582156791, 0.35094499984177674], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596613963.6335208,"{'circle_3d': {'center': [-1.6571714348792055, 4.318264391558711, 74.39568406731269], 'normal': [-0.198211335247111, 0.5022046205654694, -0.8417260751944484], 'radius': 2.672180601985312}, 'confidence': 0.9947565603083266, 'timestamp': 172273.809067, 'diameter_3d': 5.344361203970624, 'ellipse': {'center': [146.31774400127577, 155.66290946508818], 'axes': [36.008144784249, 44.547310856555015], 'angle': -68.50427487479354}, 'location': [146.31774400127577, 155.66290946508818], 'diameter': 44.547310856555015, 'sphere': {'center': [0.7213645880861262, -1.7081910552269222, 84.49639696964607], 'radius': 12.0}, 'projected_sphere': {'center': [165.2930782927237, 107.46599272604313], 'axes': [176.10218344985046, 176.10218344985046], 'angle': 90.0}, 'model_confidence': 0.8415610119571038, 'model_id': 168, 'model_birth_timestamp': 172218.25059, 'theta': 2.0969426552106083, 'phi': -1.8020650078179592, 'norm_pos': [0.4572429500039868, 0.35140454389546594], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596613963.641438,"{'circle_3d': {'center': [-1.6782915158088767, 4.342058436155555, 74.41492229204728], 'normal': [-0.19997134199125025, 0.5041874576152064, -0.8401228897998988], 'radius': 2.6697430212905444}, 'confidence': 0.9999174525197903, 'timestamp': 172273.817467, 'diameter_3d': 5.339486042581089, 'ellipse': {'center': [146.14586263280074, 155.85211792994124], 'axes': [35.87856449728688, 44.49522511990696], 'angle': -68.40493818320311}, 'location': [146.14586263280074, 155.85211792994124], 'diameter': 44.49522511990696, 'sphere': {'center': [0.7213645880861262, -1.7081910552269222, 84.49639696964607], 'radius': 12.0}, 'projected_sphere': {'center': [165.2930782927237, 107.46599272604313], 'axes': [176.10218344985046, 176.10218344985046], 'angle': 90.0}, 'model_confidence': 0.8429330482627173, 'model_id': 168, 'model_birth_timestamp': 172218.25059, 'theta': 2.0992371489716515, 'phi': -1.8044742658096513, 'norm_pos': [0.4567058207275023, 0.35061617529191147], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596613963.649237,"{'circle_3d': {'center': [-1.6650772950152066, 4.33498286454382, 74.40754450199731], 'normal': [-0.1988701569251111, 0.5035978266475618, -0.8407377056373967], 'radius': 2.6768043061002764}, 'confidence': 0.9999913602654803, 'timestamp': 172273.825867, 'diameter_3d': 5.353608612200553, 'ellipse': {'center': [146.25470714699816, 155.79504405981197], 'axes': [36.01069738783894, 44.61735282685342], 'angle': -68.49302728557456}, 'location': [146.25470714699816, 155.79504405981197], 'diameter': 44.61735282685342, 'sphere': {'center': [0.7213645880861262, -1.7081910552269222, 84.49639696964607], 'radius': 12.0}, 'projected_sphere': {'center': [165.2930782927237, 107.46599272604313], 'axes': [176.10218344985046, 176.10218344985046], 'angle': 90.0}, 'model_confidence': 0.8443195386433899, 'model_id': 168, 'model_birth_timestamp': 172218.25059, 'theta': 2.0985545210466814, 'phi': -1.8030695106458012, 'norm_pos': [0.45704595983436924, 0.35085398308411675], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596613963.656914,"{'circle_3d': {'center': [-1.6632191758768147, 4.340457805211694, 74.41038649792044], 'normal': [-0.19871531366357842, 0.504054071703218, -0.840500872643802], 'radius': 2.648082255939522}, 'confidence': 0.9997873112613628, 'timestamp': 172273.834267, 'diameter_3d': 5.296164511879044, 'ellipse': {'center': [146.26781605146545, 155.846098176044], 'axes': [35.60983433682402, 44.13675585823079], 'angle': -68.52696088805348}, 'location': [146.26781605146545, 155.846098176044], 'diameter': 44.13675585823079, 'sphere': {'center': [0.7213645880861262, -1.7081910552269222, 84.49639696964607], 'radius': 12.0}, 'projected_sphere': {'center': [165.2930782927237, 107.46599272604313], 'axes': [176.10218344985046, 176.10218344985046], 'angle': 90.0}, 'model_confidence': 0.8448993845386998, 'model_id': 168, 'model_birth_timestamp': 172218.25059, 'theta': 2.09908270155499, 'phi': -1.8029581623704845, 'norm_pos': [0.4570869251608295, 0.3506412575998167], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596613963.665218,"{'circle_3d': {'center': [-1.6682994686152397, 4.35306859499238, 74.41916336370377], 'normal': [-0.19913867139178051, 0.5051049708516085, -0.8397694671618586], 'radius': 2.660773493728173}, 'confidence': 0.9999224958922674, 'timestamp': 172273.842666, 'diameter_3d': 5.321546987456346, 'ellipse': {'center': [146.2284367802818, 155.94358934838385], 'axes': [35.736660458315036, 44.34316806320932], 'angle': -68.5259037842374}, 'location': [146.2284367802818, 155.94358934838385], 'diameter': 44.34316806320932, 'sphere': {'center': [0.7213645880861262, -1.7081910552269222, 84.49639696964607], 'radius': 12.0}, 'projected_sphere': {'center': [165.2930782927237, 107.46599272604313], 'axes': [176.10218344985046, 176.10218344985046], 'angle': 90.0}, 'model_confidence': 0.845779528085866, 'model_id': 168, 'model_birth_timestamp': 172218.25059, 'theta': 2.1002999144480516, 'phi': -1.8036305190804809, 'norm_pos': [0.45696386493838065, 0.3502350443817339], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596613963.6735702,"{'circle_3d': {'center': [-1.6734674405024728, 4.351671364139889, 74.41954989264862], 'normal': [-0.1995693357157166, 0.5049885349472343, -0.839737256416454], 'radius': 2.6676180939601783}, 'confidence': 0.9999466774962597, 'timestamp': 172273.851066, 'diameter_3d': 5.335236187920357, 'ellipse': {'center': [146.1863746695714, 155.93019003222707], 'axes': [35.82673048869993, 44.45705014108437], 'angle': -68.47766074032766}, 'location': [146.1863746695714, 155.93019003222707], 'diameter': 44.45705014108437, 'sphere': {'center': [0.7213645880861262, -1.7081910552269222, 84.49639696964607], 'radius': 12.0}, 'projected_sphere': {'center': [165.2930782927237, 107.46599272604313], 'axes': [176.10218344985046, 176.10218344985046], 'angle': 90.0}, 'model_confidence': 0.847359127049041, 'model_id': 168, 'model_birth_timestamp': 172218.25059, 'theta': 2.1001650088917994, 'phi': -1.8041246249305434, 'norm_pos': [0.4568324208424106, 0.3502908748657205], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
