eye_packets,772
norm_X,norm_Y,phi,theta,confidence,timestamp
1596613009.519774,"{'circle_3d': {'center': [-1.981895369772431, 5.992025426135653, 70.57802678658557], 'normal': [-0.18786243906432398, 0.5095574587142979, -0.8396778550476544], 'radius': 2.2954133502656537}, 'confidence': 0.9999938007955176, 'timestamp': 171319.683056, 'diameter_3d': 4.5908267005313075, 'ellipse': {'center': [142.68788273969693, 172.37331296971297], 'axes': [31.915463167425237, 40.33503094542633], 'angle': -69.9611442553614}, 'location': [142.68788273969693, 172.37331296971297], 'diameter': 40.33503094542633, 'sphere': {'center': [0.27245389899945666, -0.12266407843592231, 80.65416104715742], 'radius': 12.0}, 'projected_sphere': {'center': [162.09439184769272, 119.05706379382205], 'axes': [184.49141131478464, 184.49141131478464], 'angle': 90.0}, 'model_confidence': 0.9640698194449904, 'model_id': 17, 'model_birth_timestamp': 170993.549888, 'theta': 2.105466716932768, 'phi': -1.7909031252369234, 'norm_pos': [0.44589963356155293, 0.281777862626196], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596613009.5276852,"{'circle_3d': {'center': [-1.995808996877912, 5.9833281871817805, 70.57587538503199], 'normal': [-0.18902190798978075, 0.5088326888014753, -0.8398571385104515], 'radius': 2.277364113663963}, 'confidence': 0.9998055366818717, 'timestamp': 171319.691456, 'diameter_3d': 4.554728227327926, 'ellipse': {'center': [142.56421047357216, 172.30293298075338], 'axes': [31.674602468701256, 40.018985016580054], 'angle': -69.81952204060264}, 'location': [142.56421047357216, 172.30293298075338], 'diameter': 40.018985016580054, 'sphere': {'center': [0.27245389899945666, -0.12266407843592231, 80.65416104715742], 'radius': 12.0}, 'projected_sphere': {'center': [162.09439184769272, 119.05706379382205], 'axes': [184.49141131478464, 184.49141131478464], 'angle': 90.0}, 'model_confidence': 0.9641543127377195, 'model_id': 17, 'model_birth_timestamp': 170993.549888, 'theta': 2.104624598765582, 'phi': -1.7921720255083278, 'norm_pos': [0.445513157729913, 0.28207111258019424], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596613009.53494,"{'circle_3d': {'center': [-1.9849482443911115, 5.991513651068208, 70.57839972331436], 'normal': [-0.18811684528254735, 0.5095148107920108, -0.8396467769869206], 'radius': 2.3032211663567628}, 'confidence': 0.999991418817445, 'timestamp': 171319.699856, 'diameter_3d': 4.6064423327135255, 'ellipse': {'center': [142.66195177086308, 172.36677609898274], 'axes': [32.02235379812334, 40.472060087893944], 'angle': -69.93429129450894}, 'location': [142.66195177086308, 172.36677609898274], 'diameter': 40.472060087893944, 'sphere': {'center': [0.27245389899945666, -0.12266407843592231, 80.65416104715742], 'radius': 12.0}, 'projected_sphere': {'center': [162.09439184769272, 119.05706379382205], 'axes': [184.49141131478464, 184.49141131478464], 'angle': 90.0}, 'model_confidence': 0.9649220421570681, 'model_id': 17, 'model_birth_timestamp': 170993.549888, 'theta': 2.1054171522177683, 'phi': -1.791199540277569, 'norm_pos': [0.4458185992839471, 0.28180509958757194], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596613009.547838,"{'circle_3d': {'center': [-1.9748027411747282, 5.9911092713766445, 70.57588673950362], 'normal': [-0.1872713866811821, 0.5094811124843805, -0.8398561923044833], 'radius': 2.273376545876594}, 'confidence': 0.9997416048741168, 'timestamp': 171319.708256, 'diameter_3d': 4.546753091753188, 'ellipse': {'center': [142.747520736111, 172.3718606828218], 'axes': [31.618828563551325, 39.94888659822503], 'angle': -70.01723155929086}, 'location': [142.747520736111, 172.3718606828218], 'diameter': 39.94888659822503, 'sphere': {'center': [0.27245389899945666, -0.12266407843592231, 80.65416104715742], 'radius': 12.0}, 'projected_sphere': {'center': [162.09439184769272, 119.05706379382205], 'axes': [184.49141131478464, 184.49141131478464], 'angle': 90.0}, 'model_confidence': 0.9653773455720716, 'model_id': 17, 'model_birth_timestamp': 170993.549888, 'theta': 2.1053779896267737, 'phi': -1.7901875612146019, 'norm_pos': [0.4460860023003469, 0.28178391382157586], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596613009.5549178,"{'circle_3d': {'center': [-1.9806896236874034, 5.9798840811616625, 70.570399337063], 'normal': [-0.187761960223905, 0.5085456799664654, -0.8403134758412018], 'radius': 2.267030357057342}, 'confidence': 0.9990270272401902, 'timestamp': 171319.716656, 'diameter_3d': 4.534060714114684, 'ellipse': {'center': [142.69424844686864, 172.2790231789755], 'axes': [31.556225781018426, 39.840416701770465], 'angle': -69.9345685076234}, 'location': [142.69424844686864, 172.2790231789755], 'diameter': 39.840416701770465, 'sphere': {'center': [0.27245389899945666, -0.12266407843592231, 80.65416104715742], 'radius': 12.0}, 'projected_sphere': {'center': [162.09439184769272, 119.05706379382205], 'axes': [184.49141131478464, 184.49141131478464], 'angle': 90.0}, 'model_confidence': 0.9651907055024944, 'model_id': 17, 'model_birth_timestamp': 170993.549888, 'theta': 2.1042912359011607, 'phi': -1.7906280699441406, 'norm_pos': [0.4459195263964645, 0.28217073675426874], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596613009.563266,"{'circle_3d': {'center': [-1.982040836241894, 5.9978782828864015, 70.58161347010284], 'normal': [-0.18787456127011254, 0.5100451967768603, -0.8393789647545479], 'radius': 2.3055084849387217}, 'confidence': 0.9999388513399732, 'timestamp': 171319.725056, 'diameter_3d': 4.6110169698774435, 'ellipse': {'center': [142.68830437452922, 172.4196207216434], 'axes': [32.03887056210607, 40.51043009458938], 'angle': -69.97753111971274}, 'location': [142.68830437452922, 172.4196207216434], 'diameter': 40.51043009458938, 'sphere': {'center': [0.27245389899945666, -0.12266407843592231, 80.65416104715742], 'radius': 12.0}, 'projected_sphere': {'center': [162.09439184769272, 119.05706379382205], 'axes': [184.49141131478464, 184.49141131478464], 'angle': 90.0}, 'model_confidence': 0.9654294736288094, 'model_id': 17, 'model_birth_timestamp': 170993.549888, 'theta': 2.1060336616252635, 'phi': -1.790992746616222, 'norm_pos': [0.44590095117040385, 0.2815849136598191], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596613009.571276,"{'circle_3d': {'center': [-1.977951918854544, 6.008723653172097, 70.58729668233877], 'normal': [-0.18753381815450007, 0.5109489776340016, -0.8389053637348872], 'radius': 2.299148952781077}, 'confidence': 0.9999635503776902, 'timestamp': 171319.733456, 'diameter_3d': 4.598297905562154, 'ellipse': {'center': [142.72481079393623, 172.5118838566125], 'axes': [31.923466509680328, 40.39541444424451], 'angle': -70.04389314297745}, 'location': [142.72481079393623, 172.5118838566125], 'diameter': 40.39541444424451, 'sphere': {'center': [0.27245389899945666, -0.12266407843592231, 80.65416104715742], 'radius': 12.0}, 'projected_sphere': {'center': [162.09439184769272, 119.05706379382205], 'axes': [184.49141131478464, 184.49141131478464], 'angle': 90.0}, 'model_confidence': 0.9661578836289375, 'model_id': 17, 'model_birth_timestamp': 170993.549888, 'theta': 2.107084716989894, 'phi': -1.7907262642604056, 'norm_pos': [0.4460150337310507, 0.28120048393078123], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596613009.580215,"{'circle_3d': {'center': [-1.9854417620450668, 6.013935964270196, 70.59215095475065], 'normal': [-0.1881579717537103, 0.5113833368921765, -0.8385008410338969], 'radius': 2.282773213099264}, 'confidence': 0.9998647699963407, 'timestamp': 171319.741856, 'diameter_3d': 4.565546426198528, 'ellipse': {'center': [142.6590756992328, 172.55778666905508], 'axes': [31.673200193238614, 40.104862862590636], 'angle': -69.99751815224825}, 'location': [142.6590756992328, 172.55778666905508], 'diameter': 40.104862862590636, 'sphere': {'center': [0.27245389899945666, -0.12266407843592231, 80.65416104715742], 'radius': 12.0}, 'projected_sphere': {'center': [162.09439184769272, 119.05706379382205], 'axes': [184.49141131478464, 184.49141131478464], 'angle': 90.0}, 'model_confidence': 0.9662719769757411, 'model_id': 17, 'model_birth_timestamp': 170993.549888, 'theta': 2.1075900903559526, 'phi': -1.791537771214289, 'norm_pos': [0.4458096115601025, 0.28100922221227054], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596613009.587001,"{'circle_3d': {'center': [-1.9774366058697637, 5.999363962931024, 70.58148685522526], 'normal': [-0.18749087540576836, 0.5101690034472455, -0.8393895159943464], 'radius': 2.279208253200301}, 'confidence': 0.9995112310663714, 'timestamp': 171319.750256, 'diameter_3d': 4.558416506400602, 'ellipse': {'center': [142.72628022179123, 172.43874879786043], 'axes': [31.673703735457984, 40.0482333028947], 'angle': -70.02014356849138}, 'location': [142.72628022179123, 172.43874879786043], 'diameter': 40.0482333028947, 'sphere': {'center': [0.27245389899945666, -0.12266407843592231, 80.65416104715742], 'radius': 12.0}, 'projected_sphere': {'center': [162.09439184769272, 119.05706379382205], 'axes': [184.49141131478464, 184.49141131478464], 'angle': 90.0}, 'model_confidence': 0.9665723724108344, 'model_id': 17, 'model_birth_timestamp': 170993.549888, 'theta': 2.1061776043095923, 'phi': -1.7905547306394838, 'norm_pos': [0.4460196256930976, 0.2815052133422482], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596613009.595791,"{'circle_3d': {'center': [-1.975640532829968, 6.003973804237105, 70.58388897138045], 'normal': [-0.18734120265245208, 0.5105531568894189, -0.8391893396480804], 'radius': 2.2768662266103528}, 'confidence': 0.9996922735859725, 'timestamp': 171319.758656, 'diameter_3d': 4.5537324532207055, 'ellipse': {'center': [142.74233688571942, 172.47788908643287], 'axes': [31.629845250155448, 40.005713813756415], 'angle': -70.0488302963782}, 'location': [142.74233688571942, 172.47788908643287], 'diameter': 40.005713813756415, 'sphere': {'center': [0.27245389899945666, -0.12266407843592231, 80.65416104715742], 'radius': 12.0}, 'projected_sphere': {'center': [162.09439184769272, 119.05706379382205], 'axes': [184.49141131478464, 184.49141131478464], 'angle': 90.0}, 'model_confidence': 0.9670541390609189, 'model_id': 17, 'model_birth_timestamp': 170993.549888, 'theta': 2.106624315032902, 'phi': -1.7904355977814739, 'norm_pos': [0.4460698027678732, 0.28134212880652976], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596613009.603172,"{'circle_3d': {'center': [-1.9729602655601446, 6.006181877769995, 70.58463461962899], 'normal': [-0.18711784704663345, 0.5107371630171598, -0.8391272022940359], 'radius': 2.286700035799501}, 'confidence': 0.9998884117772088, 'timestamp': 171319.767056, 'diameter_3d': 4.573400071599002, 'ellipse': {'center': [142.76676924065563, 172.49441079421825], 'axes': [31.76299660800145, 40.178130218465256], 'angle': -70.07763940709603}, 'location': [142.76676924065563, 172.49441079421825], 'diameter': 40.178130218465256, 'sphere': {'center': [0.27245389899945666, -0.12266407843592231, 80.65416104715742], 'radius': 12.0}, 'projected_sphere': {'center': [162.09439184769272, 119.05706379382205], 'axes': [184.49141131478464, 184.49141131478464], 'angle': 90.0}, 'model_confidence': 0.9674453081195633, 'model_id': 17, 'model_birth_timestamp': 170993.549888, 'theta': 2.1068383275189215, 'phi': -1.7901977908443572, 'norm_pos': [0.44614615387704887, 0.28127328835742393], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
