eye_packets,771
norm_X,norm_Y,phi,theta,confidence,timestamp
1594969646.927957,"{'circle_3d': {'center': [4.925179372251345, -0.26237518041677, 143.38930720184246], 'normal': [0.12758010252585203, -0.4172023637298629, -0.8998141503320051], 'radius': 2.996546228030641}, 'confidence': 0.9944328634260966, 'timestamp': 197542.081108, 'diameter_3d': 5.993092456061282, 'ellipse': {'center': [181.26663170464337, 118.96708017501084], 'axes': [23.17441840360486, 25.927419854559624], 'angle': -69.39671045067709}, 'location': [181.26663170464337, 118.96708017501084], 'diameter': 25.927419854559624, 'sphere': {'center': [3.394218141941121, 4.744053184341585, 154.18707700582652], 'radius': 12.0}, 'projected_sphere': {'center': [173.6484541303288, 139.07626132753418], 'axes': [96.50614233667395, 96.50614233667395], 'angle': 90.0}, 'model_confidence': 0.26141507491425076, 'model_id': 12, 'model_birth_timestamp': 197530.967908, 'theta': 1.1404315286204545, 'phi': -1.4299501805005221, 'norm_pos': [0.5664582240770105, 0.5043038326041216], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1594969646.934019,"{'circle_3d': {'center': [4.810780576135997, -0.23606092513412769, 143.36156019014382], 'normal': [0.11804686951623959, -0.4150095091229758, -0.9021264013068915], 'radius': 2.819085264407439}, 'confidence': 0.43994519824449374, 'timestamp': 197542.089508, 'diameter_3d': 5.638170528814878, 'ellipse': {'center': [180.78129091414348, 119.06879022219326], 'axes': [21.874817072677015, 24.396214715589245], 'angle': -70.51331521472066}, 'location': [180.78129091414348, 119.06879022219326], 'diameter': 24.396214715589245, 'sphere': {'center': [3.394218141941121, 4.744053184341585, 154.18707700582652], 'radius': 12.0}, 'projected_sphere': {'center': [173.6484541303288, 139.07626132753418], 'axes': [96.50614233667395, 96.50614233667395], 'angle': 90.0}, 'model_confidence': 0.26141507491425076, 'model_id': 12, 'model_birth_timestamp': 197530.967908, 'theta': 1.1428430721596392, 'phi': -1.4406815840406897, 'norm_pos': [0.5649415341066983, 0.5038800407408615], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1594969646.941757,"{'circle_3d': {'center': [4.855414359115482, -0.2706062202392783, 143.38346202421206], 'normal': [0.12176635143119671, -0.4178882837150719, -0.9003012484678703], 'radius': 2.9838333847406044}, 'confidence': 0.9170226954882446, 'timestamp': 197542.097908, 'diameter_3d': 5.967666769481209, 'ellipse': {'center': [180.96743301612267, 118.93080841165053], 'axes': [23.095813978906513, 25.818226340380868], 'angle': -70.17353479541799}, 'location': [180.96743301612267, 118.93080841165053], 'diameter': 25.818226340380868, 'sphere': {'center': [3.394218141941121, 4.744053184341585, 154.18707700582652], 'radius': 12.0}, 'projected_sphere': {'center': [173.6484541303288, 139.07626132753418], 'axes': [96.50614233667395, 96.50614233667395], 'angle': 90.0}, 'model_confidence': 0.25951553051069, 'model_id': 12, 'model_birth_timestamp': 197530.967908, 'theta': 1.1396766555567432, 'phi': -1.4363614189486416, 'norm_pos': [0.5655232281753834, 0.5044549649514561], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1594969646.953501,"{'circle_3d': {'center': [4.87799229967344, -0.19817349373109394, 143.35320375055016], 'normal': [0.12364784647769322, -0.4118522231727232, -0.9028227712730302], 'radius': 2.896787481492737}, 'confidence': 0.9715509720715405, 'timestamp': 197542.106308, 'diameter_3d': 5.793574962985474, 'ellipse': {'center': [181.07055720442733, 119.23698126837819], 'axes': [22.493038540684147, 25.07041128075394], 'angle': -69.63030867148427}, 'location': [181.07055720442733, 119.23698126837819], 'diameter': 25.07041128075394, 'sphere': {'center': [3.394218141941121, 4.744053184341585, 154.18707700582652], 'radius': 12.0}, 'projected_sphere': {'center': [173.6484541303288, 139.07626132753418], 'axes': [96.50614233667395, 96.50614233667395], 'angle': 90.0}, 'model_confidence': 0.2611543542515582, 'model_id': 12, 'model_birth_timestamp': 197530.967908, 'theta': 1.1463105794321335, 'phi': -1.4346861840328802, 'norm_pos': [0.5658454912638354, 0.5031792447150909], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1594969646.9626582,"{'circle_3d': {'center': [4.909423003611305, -0.2072465171809501, 143.36170008431134], 'normal': [0.12626707180584865, -0.41260830846021124, -0.9021147434596], 'radius': 2.9979736047778913}, 'confidence': 0.991786469487802, 'timestamp': 197542.114708, 'diameter_3d': 5.995947209555783, 'ellipse': {'center': [181.2027492732675, 119.20457175527744], 'axes': [23.255330811843464, 25.944762499125243], 'angle': -69.3308901289338}, 'location': [181.2027492732675, 119.20457175527744], 'diameter': 25.944762499125243, 'sphere': {'center': [3.394218141941121, 4.744053184341585, 154.18707700582652], 'radius': 12.0}, 'projected_sphere': {'center': [173.6484541303288, 139.07626132753418], 'axes': [96.50614233667395, 96.50614233667395], 'angle': 90.0}, 'model_confidence': 0.25798710446096607, 'model_id': 12, 'model_birth_timestamp': 197530.967908, 'theta': 1.145480701071451, 'phi': -1.4317319057807978, 'norm_pos': [0.566258591478961, 0.5033142843530107], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1594969646.969598,"{'circle_3d': {'center': [4.997474423543855, -0.4182813277086801, 143.4735401630656], 'normal': [0.13360469013356127, -0.43019454267085583, -0.8927947368967452], 'radius': 2.8048862051188506}, 'confidence': 0.12513465697241757, 'timestamp': 197542.123108, 'diameter_3d': 5.609772410237701, 'ellipse': {'center': [181.5692652026463, 118.28333629864952], 'axes': [21.490726746626137, 24.254809163114178], 'angle': -69.29108063077673}, 'location': [181.5692652026463, 118.28333629864952], 'diameter': 24.254809163114178, 'sphere': {'center': [3.394218141941121, 4.744053184341585, 154.18707700582652], 'radius': 12.0}, 'projected_sphere': {'center': [173.6484541303288, 139.07626132753418], 'axes': [96.50614233667395, 96.50614233667395], 'angle': 90.0}, 'model_confidence': 0.25798710446096607, 'model_id': 12, 'model_birth_timestamp': 197530.967908, 'theta': 1.126088057578086, 'phi': -1.4222509324034038, 'norm_pos': [0.5674039537582697, 0.5071527654222937], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1594969646.979507,"{'circle_3d': {'center': [5.096063991171126, -0.3972832716705561, 143.47865134415528], 'normal': [0.1418204874358337, -0.42844470466767837, -0.8923688051392701], 'radius': 2.852538831204607}, 'confidence': 0.6428295238245203, 'timestamp': 197542.131508, 'diameter_3d': 5.705077662409214, 'ellipse': {'center': [181.99186963809962, 118.37682435189522], 'axes': [21.836573506847216, 24.66634620813443], 'angle': -68.1993779128719}, 'location': [181.99186963809962, 118.37682435189522], 'diameter': 24.66634620813443, 'sphere': {'center': [3.394218141941121, 4.744053184341585, 154.18707700582652], 'radius': 12.0}, 'projected_sphere': {'center': [173.6484541303288, 139.07626132753418], 'axes': [96.50614233667395, 96.50614233667395], 'angle': 90.0}, 'model_confidence': 0.25798710446096607, 'model_id': 12, 'model_birth_timestamp': 197530.967908, 'theta': 1.128025535715797, 'phi': -1.4131885597987497, 'norm_pos': [0.5687245926190613, 0.5067632318671033], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1594969646.9883242,"{'circle_3d': {'center': [4.972816034764042, -0.5023795185166362, 143.51079616523626], 'normal': [0.1315498244019101, -0.4372027252381851, -0.8896900700491889], 'radius': 2.8636388409063374}, 'confidence': 0.4366417758148954, 'timestamp': 197542.139908, 'diameter_3d': 5.727277681812675, 'ellipse': {'center': [181.45660943381307, 117.9254556977258], 'axes': [21.854193292313496, 24.756332824499676], 'angle': -69.87989318987269}, 'location': [181.45660943381307, 117.9254556977258], 'diameter': 24.756332824499676, 'sphere': {'center': [3.394218141941121, 4.744053184341585, 154.18707700582652], 'radius': 12.0}, 'projected_sphere': {'center': [173.6484541303288, 139.07626132753418], 'axes': [96.50614233667395, 96.50614233667395], 'angle': 90.0}, 'model_confidence': 0.2575614373669266, 'model_id': 12, 'model_birth_timestamp': 197530.967908, 'theta': 1.1183102978614399, 'phi': -1.4239996672153439, 'norm_pos': [0.5670519044806659, 0.5086439345928092], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1594969646.993958,"{'circle_3d': {'center': [4.9812142892178795, -0.4917264865762334, 143.50681228691002], 'normal': [0.13224967893972978, -0.43631497257648455, -0.8900220599097081], 'radius': 2.83717547320076}, 'confidence': 0.4819357193242832, 'timestamp': 197542.148308, 'diameter_3d': 5.67435094640152, 'ellipse': {'center': [181.49382309331185, 117.96950989627778], 'axes': [21.660983231879396, 24.528251200086704], 'angle': -69.75264499816015}, 'location': [181.49382309331185, 117.96950989627778], 'diameter': 24.528251200086704, 'sphere': {'center': [3.394218141941121, 4.744053184341585, 154.18707700582652], 'radius': 12.0}, 'projected_sphere': {'center': [173.6484541303288, 139.07626132753418], 'axes': [96.50614233667395, 96.50614233667395], 'angle': 90.0}, 'model_confidence': 0.2520600372153958, 'model_id': 12, 'model_birth_timestamp': 197530.967908, 'theta': 1.1192971518123858, 'phi': -1.4232842064622873, 'norm_pos': [0.5671681971665995, 0.5084603754321759], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1594969647.001149,"{'circle_3d': {'center': [4.897382341352566, -0.16547736529335477, 143.3410174830409], 'normal': [0.12526368328428705, -0.4091275458029116, -0.9038382935654697], 'radius': 3.031970575089977}, 'confidence': 0.8238337898146568, 'timestamp': 197542.156708, 'diameter_3d': 6.063941150179954, 'ellipse': {'center': [181.15321670908668, 119.3867793655103], 'axes': [23.572041159755976, 26.24278286987626], 'angle': -69.2811291662216}, 'location': [181.15321670908668, 119.3867793655103], 'diameter': 26.24278286987626, 'sphere': {'center': [3.394218141941121, 4.744053184341585, 154.18707700582652], 'radius': 12.0}, 'projected_sphere': {'center': [173.6484541303288, 139.07626132753418], 'axes': [96.50614233667395, 96.50614233667395], 'angle': 90.0}, 'model_confidence': 0.25166761111568015, 'model_id': 12, 'model_birth_timestamp': 197530.967908, 'theta': 1.1492986078646503, 'phi': -1.4330827504891632, 'norm_pos': [0.5661038022158958, 0.5025550859770405], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1594969647.010923,"{'circle_3d': {'center': [5.003097390323142, -0.2956925477321297, 143.41616847775097], 'normal': [0.13407327069850167, -0.41997881100614265, -0.8975757106729622], 'radius': 2.865783705608554}, 'confidence': 0.447714999906689, 'timestamp': 197542.165108, 'diameter_3d': 5.731567411217108, 'ellipse': {'center': [181.60068989327632, 118.81492589811673], 'axes': [22.093405673835587, 24.791487890785355], 'angle': -68.71940039128661}, 'location': [181.60068989327632, 118.81492589811673], 'diameter': 24.791487890785355, 'sphere': {'center': [3.394218141941121, 4.744053184341585, 154.18707700582652], 'radius': 12.0}, 'projected_sphere': {'center': [173.6484541303288, 139.07626132753418], 'axes': [96.50614233667395, 96.50614233667395], 'angle': 90.0}, 'model_confidence': 0.24681734723273063, 'model_id': 12, 'model_birth_timestamp': 197530.967908, 'theta': 1.1373743547322759, 'phi': -1.4225199718537818, 'norm_pos': [0.5675021559164886, 0.504937808757847], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
