eye_packets,766
norm_X,norm_Y,phi,theta,confidence,timestamp
1595227347.964854,"{'circle_3d': {'center': [5.115668725534437, -2.618329640573849, 27.587867014313282], 'normal': [0.45317407907531465, 0.05996762115091225, -0.8894026863393999], 'radius': 0.45603087787699903}, 'confidence': 0.22061661929129042, 'timestamp': 243760.787466, 'diameter_3d': 0.9120617557539981, 'ellipse': {'center': [274.9060146531188, 61.14418628328877], 'axes': [16.55593112759335, 20.584146036389505], 'angle': 0.39951658737904144}, 'location': [274.9060146531188, 61.14418628328877], 'diameter': 20.584146036389505, 'sphere': {'center': [-0.32242022336933784, -3.3379410943847962, 38.26069925038608], 'radius': 12.0}, 'projected_sphere': {'center': [154.77530357767907, 65.90994103439732], 'axes': [388.910822110755, 388.910822110755], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 243447.770221, 'theta': 1.6307999479829407, 'phi': -1.0995567365023526, 'norm_pos': [0.8590812957909962, 0.7452325571529634], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227347.97344,"{'circle_3d': {'center': [5.11559796635507, -2.6074004377508575, 27.58857347726893], 'normal': [0.453168182477034, 0.06087838805282824, -0.8893438144264292], 'radius': 0.4648447094578893}, 'confidence': 0.9621111351870133, 'timestamp': 243760.795866, 'diameter_3d': 0.9296894189157786, 'ellipse': {'center': [274.8990835331795, 61.390693647572974], 'axes': [16.87570817542655, 20.981430735991587], 'angle': 0.5139803803073977}, 'location': [274.8990835331795, 61.390693647572974], 'diameter': 20.981430735991587, 'sphere': {'center': [-0.32242022336933784, -3.3379410943847962, 38.26069925038608], 'radius': 12.0}, 'projected_sphere': {'center': [154.77530357767907, 65.90994103439732], 'axes': [388.910822110755, 388.910822110755], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 243447.770221, 'theta': 1.6317123820606503, 'phi': -1.099535223179424, 'norm_pos': [0.859059636041186, 0.7442054431351126], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227347.9812942,"{'circle_3d': {'center': [5.121319482515149, -2.600987862704813, 27.591931845062582], 'normal': [0.45364497549037397, 0.06141276930666529, -0.889063950443625], 'radius': 0.4699931349935525}, 'confidence': 0.9571043553014871, 'timestamp': 243760.804266, 'diameter_3d': 0.939986269987105, 'ellipse': {'center': [275.01221294262746, 61.54155024790047], 'axes': [17.05182040364161, 21.211222559320884], 'angle': 0.5836180722499769}, 'location': [275.01221294262746, 61.54155024790047], 'diameter': 21.211222559320884, 'sphere': {'center': [-0.32242022336933784, -3.3379410943847962, 38.26069925038608], 'radius': 12.0}, 'projected_sphere': {'center': [154.77530357767907, 65.90994103439732], 'axes': [388.910822110755, 388.910822110755], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 243447.770221, 'theta': 1.6322477650983516, 'phi': -1.0989822974734194, 'norm_pos': [0.8594131654457108, 0.7435768739670814], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227347.989253,"{'circle_3d': {'center': [5.118278874893292, -2.6124638617907, 27.58959452279804], 'normal': [0.4533915915218858, 0.060456436049508025, -0.8892587272990033], 'radius': 0.4595822302207794}, 'confidence': 0.9632989354961365, 'timestamp': 243760.812666, 'diameter_3d': 0.9191644604415588, 'ellipse': {'center': [274.9565037472183, 61.27942605047469], 'axes': [16.679965693035044, 20.743136639456775], 'angle': 0.4621476406603}, 'location': [274.9565037472183, 61.27942605047469], 'diameter': 20.743136639456775, 'sphere': {'center': [-0.32242022336933784, -3.3379410943847962, 38.26069925038608], 'radius': 12.0}, 'projected_sphere': {'center': [154.77530357767907, 65.90994103439732], 'axes': [388.910822110755, 388.910822110755], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 243447.770221, 'theta': 1.631289651399554, 'phi': -1.099297100516724, 'norm_pos': [0.8592390742100571, 0.7446690581230222], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227347.9976718,"{'circle_3d': {'center': [5.111913003219959, -2.6168198852506857, 27.58605609081749], 'normal': [0.45286110221577475, 0.060093434094509235, -0.889553596630716], 'radius': 0.4470826583933767}, 'confidence': 0.7479775715651736, 'timestamp': 243760.821066, 'diameter_3d': 0.8941653167867534, 'ellipse': {'center': [274.831564193503, 61.174721627748454], 'axes': [16.237589752181687, 20.181541514154734], 'angle': 0.41365916283620596}, 'location': [274.831564193503, 61.174721627748454], 'diameter': 20.181541514154734, 'sphere': {'center': [-0.32242022336933784, -3.3379410943847962, 38.26069925038608], 'radius': 12.0}, 'projected_sphere': {'center': [154.77530357767907, 65.90994103439732], 'axes': [388.910822110755, 388.910822110755], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 243447.770221, 'theta': 1.6309259882349674, 'phi': -1.0999047416965417, 'norm_pos': [0.8588486381046969, 0.7451053265510481], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227348.0088031,"{'circle_3d': {'center': [5.102591753251101, -2.599756729673736, 27.582481754136023], 'normal': [0.4520843313850366, 0.061515363725921694, -0.8898514580208383], 'radius': 0.4571255656884387}, 'confidence': 0.7745671276694661, 'timestamp': 243760.829467, 'diameter_3d': 0.9142511313768774, 'ellipse': {'center': [274.6342854143676, 61.54991265803659], 'axes': [16.61851746239858, 20.637525560303708], 'angle': 0.5885780442485548}, 'location': [274.6342854143676, 61.54991265803659], 'diameter': 20.637525560303708, 'sphere': {'center': [-0.32242022336933784, -3.3379410943847962, 38.26069925038608], 'radius': 12.0}, 'projected_sphere': {'center': [154.77530357767907, 65.90994103439732], 'axes': [388.910822110755, 388.910822110755], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 243447.770221, 'theta': 1.6323505538606868, 'phi': -1.100733676052229, 'norm_pos': [0.8582321419198987, 0.7435420305915141], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227348.016652,"{'circle_3d': {'center': [5.119484332678358, -2.6118888243680862, 27.590248327202428], 'normal': [0.45349204633730794, 0.06050435583472584, -0.8892042435986378], 'radius': 0.45666101009242277}, 'confidence': 0.9653919825221025, 'timestamp': 243760.837867, 'diameter_3d': 0.9133220201848455, 'ellipse': {'center': [274.9816576977999, 61.29389291081265], 'axes': [16.57174639486799, 20.610790002110072], 'angle': 0.4687275583424702}, 'location': [274.9816576977999, 61.29389291081265], 'diameter': 20.610790002110072, 'sphere': {'center': [-0.32242022336933784, -3.3379410943847962, 38.26069925038608], 'radius': 12.0}, 'projected_sphere': {'center': [154.77530357767907, 65.90994103439732], 'axes': [388.910822110755, 388.910822110755], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 243447.770221, 'theta': 1.6313376590683217, 'phi': -1.0991826490941004, 'norm_pos': [0.8593176803056247, 0.7446087795382806], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227348.024619,"{'circle_3d': {'center': [5.11497940767878, -2.612233790870677, 27.58792856223279], 'normal': [0.4531166359206764, 0.06047560862617661, -0.8893975573461076], 'radius': 0.4438114243382932}, 'confidence': 0.9766732480540583, 'timestamp': 243760.846267, 'diameter_3d': 0.8876228486765864, 'ellipse': {'center': [274.89353849632505, 61.28190356840406], 'axes': [16.113273475188038, 20.03249359379981], 'angle': 0.46315020952336405}, 'location': [274.89353849632505, 61.28190356840406], 'diameter': 20.03249359379981, 'sphere': {'center': [-0.32242022336933784, -3.3379410943847962, 38.26069925038608], 'radius': 12.0}, 'projected_sphere': {'center': [154.77530357767907, 65.90994103439732], 'axes': [388.910822110755, 388.910822110755], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 243447.770221, 'theta': 1.631308859121435, 'phi': -1.0996056797745584, 'norm_pos': [0.8590423078010158, 0.7446587351316498], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227348.0330381,"{'circle_3d': {'center': [5.11160307930864, -2.609764683186489, 27.58637726441774], 'normal': [0.4528352752231648, 0.06068136759985896, -0.8895268321640283], 'radius': 0.44388290202387415}, 'confidence': 0.9664493968789051, 'timestamp': 243760.854667, 'diameter_3d': 0.8877658040477483, 'ellipse': {'center': [274.8241149928218, 61.33406566831469], 'axes': [16.121678731397516, 20.03683856221865], 'angle': 0.48752534028228783}, 'location': [274.8241149928218, 61.33406566831469], 'diameter': 20.03683856221865, 'sphere': {'center': [-0.32242022336933784, -3.3379410943847962, 38.26069925038608], 'radius': 12.0}, 'projected_sphere': {'center': [154.77530357767907, 65.90994103439732], 'axes': [388.910822110755, 388.910822110755], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 243447.770221, 'theta': 1.6315149966801181, 'phi': -1.0999156353309152, 'norm_pos': [0.8588253593525682, 0.7444413930486888], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227348.041014,"{'circle_3d': {'center': [5.116191951707124, -2.6268697665446705, 27.587561231235682], 'normal': [0.4532176812563718, 0.059255943986677155, -0.8894281682625335], 'radius': 0.4404898463199148}, 'confidence': 0.10872352363326165, 'timestamp': 243760.863067, 'diameter_3d': 0.8809796926398296, 'ellipse': {'center': [274.92317335676444, 60.952524677057056], 'axes': [15.991004160285032, 19.882869566286416], 'angle': 0.310347682866967}, 'location': [274.92317335676444, 60.952524677057056], 'diameter': 19.882869566286416, 'sphere': {'center': [-0.32242022336933784, -3.3379410943847962, 38.26069925038608], 'radius': 12.0}, 'projected_sphere': {'center': [154.77530357767907, 65.90994103439732], 'axes': [388.910822110755, 388.910822110755], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 243447.770221, 'theta': 1.630087002927938, 'phi': -1.0995294072326247, 'norm_pos': [0.8591349167398888, 0.7460311471789289], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227348.0488698,"{'circle_3d': {'center': [5.116549626541449, -2.618337664816046, 27.588315361305146], 'normal': [0.45324748749256555, 0.05996695246406251, -0.8893653240900781], 'radius': 0.4627461401444779}, 'confidence': 0.7048804652988789, 'timestamp': 243760.871467, 'diameter_3d': 0.9254922802889558, 'ellipse': {'center': [274.92210860518657, 61.1445943020257], 'axes': [16.79815004012678, 20.886935699613353], 'angle': 0.39980548942260735}, 'location': [274.92210860518657, 61.1445943020257], 'diameter': 20.886935699613353, 'sphere': {'center': [-0.32242022336933784, -3.3379410943847962, 38.26069925038608], 'radius': 12.0}, 'projected_sphere': {'center': [154.77530357767907, 65.90994103439732], 'axes': [388.910822110755, 388.910822110755], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 243447.770221, 'theta': 1.6307992780905143, 'phi': -1.099474218514916, 'norm_pos': [0.859131589391208, 0.7452308570748929], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
