eye_packets,776
norm_X,norm_Y,phi,theta,confidence,timestamp
1595401265.555357,"{'circle_3d': {'center': [4.001349307755204, -5.022816705805344, 70.44658147021755], 'normal': [-0.10524602535081319, 0.35291166139728103, -0.9297185775263753], 'radius': 0.978687492238941}, 'confidence': 0.43340185824724686, 'timestamp': 257394.507456, 'diameter_3d': 1.957374984477882, 'ellipse': {'center': [195.22848567735286, 75.75379545006237], 'axes': [16.536460803111137, 17.24430721842993], 'angle': -82.09689490849995}, 'location': [195.22848567735286, 75.75379545006237], 'diameter': 17.24430721842993, 'sphere': {'center': [5.264301611964962, -9.257756642572716, 81.60320440053405], 'radius': 12.0}, 'projected_sphere': {'center': [199.9967994320198, 49.661964127997905], 'axes': [182.345780527984, 182.345780527984], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 257334.097234, 'theta': 1.9314775022011703, 'phi': -1.6835184857641958, 'norm_pos': [0.6100890177417277, 0.6843591856247402], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595401265.5626829,"{'circle_3d': {'center': [4.001903023320313, -5.060301217723583, 70.43236209747595], 'normal': [-0.10519988238705406, 0.349787952070761, -0.9309035252548424], 'radius': 0.9800218507524768}, 'confidence': 0.37606371943418165, 'timestamp': 257394.515856, 'diameter_3d': 1.9600437015049537, 'ellipse': {'center': [195.24050419704196, 75.41508561435984], 'axes': [16.582338613644552, 17.271173492583966], 'angle': -82.06598549596359}, 'location': [195.24050419704196, 75.41508561435984], 'diameter': 17.271173492583966, 'sphere': {'center': [5.264301611964962, -9.257756642572716, 81.60320440053405], 'radius': 12.0}, 'projected_sphere': {'center': [199.9967994320198, 49.661964127997905], 'axes': [182.345780527984, 182.345780527984], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 257334.097234, 'theta': 1.928141074387538, 'phi': -1.683327269091336, 'norm_pos': [0.6101265756157561, 0.685770476606834], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595401265.574927,"{'circle_3d': {'center': [4.101158161233382, -5.201211837156579, 70.36970354128846], 'normal': [-0.09692862089429835, 0.3380454004513448, -0.9361250716037999], 'radius': 0.9548263732319444}, 'confidence': 0.28854135191261904, 'timestamp': 257394.524256, 'diameter_3d': 1.9096527464638888, 'ellipse': {'center': [196.14488478578204, 74.136985227085], 'axes': [16.247405257625456, 16.844968274600134], 'angle': -84.15373881272693}, 'location': [196.14488478578204, 74.136985227085], 'diameter': 16.844968274600134, 'sphere': {'center': [5.264301611964962, -9.257756642572716, 81.60320440053405], 'radius': 12.0}, 'projected_sphere': {'center': [199.9967994320198, 49.661964127997905], 'axes': [182.345780527984, 182.345780527984], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 257334.097234, 'theta': 1.9156355825874074, 'phi': -1.6739710453353494, 'norm_pos': [0.6129527649555688, 0.6910958948871457], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595401265.583651,"{'circle_3d': {'center': [4.089399420380404, -5.108671516007064, 70.40478051800838], 'normal': [-0.0979085159653799, 0.3457570938804711, -0.9332019902104732], 'radius': 0.9861142480091876}, 'confidence': 0.33590031886592275, 'timestamp': 257394.532656, 'diameter_3d': 1.9722284960183751, 'ellipse': {'center': [196.02417754007013, 74.9715276232452], 'axes': [16.72335025113497, 17.388161969676194], 'angle': -83.91014743722285}, 'location': [196.02417754007013, 74.9715276232452], 'diameter': 17.388161969676194, 'sphere': {'center': [5.264301611964962, -9.257756642572716, 81.60320440053405], 'radius': 12.0}, 'projected_sphere': {'center': [199.9967994320198, 49.661964127997905], 'axes': [182.345780527984, 182.345780527984], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 257334.097234, 'theta': 1.923841849654679, 'phi': -1.675330637361027, 'norm_pos': [0.6125755548127192, 0.687618634903145], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595401265.590938,"{'circle_3d': {'center': [4.0819397453836235, -5.14617941255279, 70.39173914847909], 'normal': [-0.0985301555484449, 0.3426314358349939, -0.9342887710045806], 'radius': 0.9744985023082886}, 'confidence': 0.43400740169787794, 'timestamp': 257394.541056, 'diameter_3d': 1.9489970046165772, 'ellipse': {'center': [195.9649346558587, 74.63407162778503], 'axes': [16.548188815362924, 17.186133921211287], 'angle': -83.73532563558983}, 'location': [195.9649346558587, 74.63407162778503], 'diameter': 17.186133921211287, 'sphere': {'center': [5.264301611964962, -9.257756642572716, 81.60320440053405], 'radius': 12.0}, 'projected_sphere': {'center': [199.9967994320198, 49.661964127997905], 'axes': [182.345780527984, 182.345780527984], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 257334.097234, 'theta': 1.9205127781715199, 'phi': -1.6758680118394063, 'norm_pos': [0.6123904207995585, 0.6890247015508957], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595401265.598876,"{'circle_3d': {'center': [4.183190541361908, -5.2873966485356725, 70.33078494547607], 'normal': [-0.09009258921692115, 0.3308633328364202, -0.9393682879214986], 'radius': 0.9610421501865484}, 'confidence': 0.36240142718145546, 'timestamp': 257394.549456, 'diameter_3d': 1.9220843003730967, 'ellipse': {'center': [196.8874619726231, 73.35202768038567], 'axes': [16.40748044971006, 16.96690820403541], 'angle': -86.08599942577321}, 'location': [196.8874619726231, 73.35202768038567], 'diameter': 16.96690820403541, 'sphere': {'center': [5.264301611964962, -9.257756642572716, 81.60320440053405], 'radius': 12.0}, 'projected_sphere': {'center': [199.9967994320198, 49.661964127997905], 'axes': [182.345780527984, 182.345780527984], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 257334.097234, 'theta': 1.9080146142940335, 'phi': -1.666411510777019, 'norm_pos': [0.6152733186644472, 0.6943665513317263], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595401265.6102211,"{'circle_3d': {'center': [4.168321266337491, -5.307636572393466, 70.32511154255646], 'normal': [-0.0913316954689559, 0.32917667251493754, -0.9398410714981335], 'radius': 0.9742352565138778}, 'confidence': 0.5642775229940241, 'timestamp': 257394.557856, 'diameter_3d': 1.9484705130277555, 'ellipse': {'center': [196.7597759998002, 73.16897299215825], 'axes': [16.643228318778828, 17.20057647386019], 'angle': -85.75287056391527}, 'location': [196.7597759998002, 73.16897299215825], 'diameter': 17.20057647386019, 'sphere': {'center': [5.264301611964962, -9.257756642572716, 81.60320440053405], 'radius': 12.0}, 'projected_sphere': {'center': [199.9967994320198, 49.661964127997905], 'axes': [182.345780527984, 182.345780527984], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 257334.097234, 'theta': 1.90622784820005, 'phi': -1.6676699563453754, 'norm_pos': [0.6148742999993757, 0.6951292791993406], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595401265.6148732,"{'circle_3d': {'center': [4.166271944788965, -5.224041537314606, 70.3549390542856], 'normal': [-0.09150247226466637, 0.33614292543817575, -0.9373554455207048], 'radius': 0.9769771266588132}, 'confidence': 0.33816109164484187, 'timestamp': 257394.566256, 'diameter_3d': 1.9539542533176264, 'ellipse': {'center': [196.72621361891206, 73.92460066810605], 'axes': [16.642239586580835, 17.241785896949665], 'angle': -85.64215750227724}, 'location': [196.72621361891206, 73.92460066810605], 'diameter': 17.241785896949665, 'sphere': {'center': [5.264301611964962, -9.257756642572716, 81.60320440053405], 'radius': 12.0}, 'projected_sphere': {'center': [199.9967994320198, 49.661964127997905], 'axes': [182.345780527984, 182.345780527984], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 257334.097234, 'theta': 1.9136148346423716, 'phi': -1.6681057033078113, 'norm_pos': [0.6147694175591002, 0.6919808305495581], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595401265.623122,"{'circle_3d': {'center': [4.163962014243016, -5.148631214272576, 70.38249404048187], 'normal': [-0.09169496647682879, 0.3424271190250116, -0.9350591966710149], 'radius': 0.9540060789988584}, 'confidence': 0.42389461293405545, 'timestamp': 257394.574656, 'diameter_3d': 1.9080121579977167, 'ellipse': {'center': [196.69099132291592, 74.60814197006366], 'axes': [16.207567773928925, 16.8298720082115], 'angle': -85.54624490476638}, 'location': [196.69099132291592, 74.60814197006366], 'diameter': 16.8298720082115, 'sphere': {'center': [5.264301611964962, -9.257756642572716, 81.60320440053405], 'radius': 12.0}, 'projected_sphere': {'center': [199.9967994320198, 49.661964127997905], 'axes': [182.345780527984, 182.345780527984], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 257334.097234, 'theta': 1.9202953058409684, 'phi': -1.6685470636554323, 'norm_pos': [0.6146593478841123, 0.6891327417914015], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595401265.630615,"{'circle_3d': {'center': [3.9431077260871206, -4.959775536473414, 70.47747722755645], 'normal': [-0.11009949048982018, 0.358165092174942, -0.9271439310814676], 'radius': 0.9802669129656381}, 'confidence': 0.358032210220769, 'timestamp': 257394.583056, 'diameter_3d': 1.9605338259312761, 'ellipse': {'center': [194.7012438620048, 76.3271604669041], 'axes': [16.5168986075751, 17.263024438145514], 'angle': -80.98576837374786}, 'location': [194.7012438620048, 76.3271604669041], 'diameter': 17.263024438145514, 'sphere': {'center': [5.264301611964962, -9.257756642572716, 81.60320440053405], 'radius': 12.0}, 'projected_sphere': {'center': [199.9967994320198, 49.661964127997905], 'axes': [182.345780527984, 182.345780527984], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 257334.097234, 'theta': 1.9370981891165897, 'phi': -1.6889940373851802, 'norm_pos': [0.6084413870687649, 0.6819701647212328], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595401265.6387851,"{'circle_3d': {'center': [3.9569854876632626, -4.890197863879732, 70.50296319298353], 'normal': [-0.1089430103584749, 0.36396323155774846, -0.92502010062921], 'radius': 0.9974872520703403}, 'confidence': 0.3152658087137844, 'timestamp': 257394.591456, 'diameter_3d': 1.9949745041406806, 'ellipse': {'center': [194.81107118190147, 76.95278531839743], 'axes': [16.762996419242533, 17.56065918264101], 'angle': -81.37022636649164}, 'location': [194.81107118190147, 76.95278531839743], 'diameter': 17.56065918264101, 'sphere': {'center': [5.264301611964962, -9.257756642572716, 81.60320440053405], 'radius': 12.0}, 'projected_sphere': {'center': [199.9967994320198, 49.661964127997905], 'axes': [182.345780527984, 182.345780527984], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 257334.097234, 'theta': 1.9433157742681049, 'phi': -1.6880299503924594, 'norm_pos': [0.608784597443442, 0.6793633945066774], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
