eye_packets,779
norm_X,norm_Y,phi,theta,confidence,timestamp
1595227394.63616,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 243807.458613, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [15.062952966006057, -6.724305868829062, 64.35665896106066], 'radius': 12.0}, 'projected_sphere': {'center': [305.1136679511966, 55.219296558005965], 'axes': [231.21150538599625, 231.21150538599625], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 72, 'model_birth_timestamp': 243520.895663, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227394.644325,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 243807.467013, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [15.062952966006057, -6.724305868829062, 64.35665896106066], 'radius': 12.0}, 'projected_sphere': {'center': [305.1136679511966, 55.219296558005965], 'axes': [231.21150538599625, 231.21150538599625], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 72, 'model_birth_timestamp': 243520.895663, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227394.652344,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 243807.475413, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [15.062952966006057, -6.724305868829062, 64.35665896106066], 'radius': 12.0}, 'projected_sphere': {'center': [305.1136679511966, 55.219296558005965], 'axes': [231.21150538599625, 231.21150538599625], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 72, 'model_birth_timestamp': 243520.895663, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227394.662237,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 243807.483813, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [15.062952966006057, -6.724305868829062, 64.35665896106066], 'radius': 12.0}, 'projected_sphere': {'center': [305.1136679511966, 55.219296558005965], 'axes': [231.21150538599625, 231.21150538599625], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 72, 'model_birth_timestamp': 243520.895663, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227394.668478,"{'circle_3d': {'center': [10.132265231296438, -8.284416927660025, 53.52825317133808], 'normal': [-0.4108906445591349, -0.13000925490258028, -0.9023671491435483], 'radius': 1.0547191482188965}, 'confidence': 0.8277177466265532, 'timestamp': 243807.492213, 'diameter_3d': 2.109438296437793, 'ellipse': {'center': [277.4563870128413, 24.06566846989817], 'axes': [22.787135484610022, 25.15299154569124], 'angle': 49.08802918825765}, 'location': [277.4563870128413, 24.06566846989817], 'diameter': 25.15299154569124, 'sphere': {'center': [15.062952966006057, -6.724305868829062, 64.35665896106066], 'radius': 12.0}, 'projected_sphere': {'center': [305.1136679511966, 55.219296558005965], 'axes': [231.21150538599625, 231.21150538599625], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 72, 'model_birth_timestamp': 243520.895663, 'theta': 1.440418012974128, 'phi': -1.9980883454981546, 'norm_pos': [0.867051209415129, 0.8997263813754243], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227394.676225,"{'circle_3d': {'center': [10.154619113101592, -8.375192318427079, 53.53155698837857], 'normal': [-0.40902782107537206, -0.13757387079983463, -0.9020918310568409], 'radius': 1.1816107126898372}, 'confidence': 0.8016417781841622, 'timestamp': 243807.500613, 'diameter_3d': 2.3632214253796744, 'ellipse': {'center': [277.7324695933736, 23.027603040945422], 'axes': [25.46898750340926, 28.187532595959137], 'angle': 49.82870702837842}, 'location': [277.7324695933736, 23.027603040945422], 'diameter': 28.187532595959137, 'sphere': {'center': [15.062952966006057, -6.724305868829062, 64.35665896106066], 'radius': 12.0}, 'projected_sphere': {'center': [305.1136679511966, 55.219296558005965], 'axes': [231.21150538599625, 231.21150538599625], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 72, 'model_birth_timestamp': 243520.895663, 'theta': 1.4327847508201947, 'phi': -1.9964919197594058, 'norm_pos': [0.8679139674792925, 0.9040516539960608], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227394.6842911,"{'circle_3d': {'center': [10.150571792017459, -8.418641207156744, 53.54010965165813], 'normal': [-0.4093650978323831, -0.14119461152730686, -0.9013791091168778], 'radius': 1.2805493193978859}, 'confidence': 0.7537613764670106, 'timestamp': 243807.509014, 'diameter_3d': 2.5610986387957717, 'ellipse': {'center': [277.6881652417342, 22.545950454460268], 'axes': [27.555284630150858, 30.546284317795877], 'angle': 50.02664330437232}, 'location': [277.6881652417342, 22.545950454460268], 'diameter': 30.546284317795877, 'sphere': {'center': [15.062952966006057, -6.724305868829062, 64.35665896106066], 'radius': 12.0}, 'projected_sphere': {'center': [305.1136679511966, 55.219296558005965], 'axes': [231.21150538599625, 231.21150538599625], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 72, 'model_birth_timestamp': 243520.895663, 'theta': 1.4291283151913157, 'phi': -1.9970995036962134, 'norm_pos': [0.8677755163804195, 0.9060585397730823], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227394.692649,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 243807.517414, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [15.062952966006057, -6.724305868829062, 64.35665896106066], 'radius': 12.0}, 'projected_sphere': {'center': [305.1136679511966, 55.219296558005965], 'axes': [231.21150538599625, 231.21150538599625], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 72, 'model_birth_timestamp': 243520.895663, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227394.7015822,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 243807.525814, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [15.062952966006057, -6.724305868829062, 64.35665896106066], 'radius': 12.0}, 'projected_sphere': {'center': [305.1136679511966, 55.219296558005965], 'axes': [231.21150538599625, 231.21150538599625], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 72, 'model_birth_timestamp': 243520.895663, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227394.7082062,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 243807.534214, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [15.062952966006057, -6.724305868829062, 64.35665896106066], 'radius': 12.0}, 'projected_sphere': {'center': [305.1136679511966, 55.219296558005965], 'axes': [231.21150538599625, 231.21150538599625], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 72, 'model_birth_timestamp': 243520.895663, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227394.720394,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 243807.542614, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [15.062952966006057, -6.724305868829062, 64.35665896106066], 'radius': 12.0}, 'projected_sphere': {'center': [305.1136679511966, 55.219296558005965], 'axes': [231.21150538599625, 231.21150538599625], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 72, 'model_birth_timestamp': 243520.895663, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
